loc,length,bug type,approach
142,1,Timestamp-Dependency,code snippet injection
407,1,Timestamp-Dependency,code snippet injection
402,1,Timestamp-Dependency,code snippet injection
397,1,Timestamp-Dependency,code snippet injection
392,1,Timestamp-Dependency,code snippet injection
384,3,Timestamp-Dependency,code snippet injection
374,3,Timestamp-Dependency,code snippet injection
363,5,Timestamp-Dependency,code snippet injection
354,4,Timestamp-Dependency,code snippet injection
346,3,Timestamp-Dependency,code snippet injection
337,5,Timestamp-Dependency,code snippet injection
329,4,Timestamp-Dependency,code snippet injection
314,5,Timestamp-Dependency,code snippet injection
298,4,Timestamp-Dependency,code snippet injection
281,3,Timestamp-Dependency,code snippet injection
245,9,Timestamp-Dependency,code snippet injection
203,3,Timestamp-Dependency,code snippet injection
167,5,Timestamp-Dependency,code snippet injection
147,9,Timestamp-Dependency,code snippet injection
132,5,Timestamp-Dependency,code snippet injection
108,9,Timestamp-Dependency,code snippet injection
101,5,Timestamp-Dependency,code snippet injection
97,3,Timestamp-Dependency,code snippet injection
87,9,Timestamp-Dependency,code snippet injection
77,9,Timestamp-Dependency,code snippet injection
72,4,Timestamp-Dependency,code snippet injection
62,9,Timestamp-Dependency,code snippet injection
56,5,Timestamp-Dependency,code snippet injection
45,9,Timestamp-Dependency,code snippet injection
41,3,Timestamp-Dependency,code snippet injection
37,3,Timestamp-Dependency,code snippet injection
31,4,Timestamp-Dependency,code snippet injection
