loc,length,bug type,approach
1544,1,Timestamp-Dependency,code snippet injection
1542,1,Timestamp-Dependency,code snippet injection
1456,1,Timestamp-Dependency,code snippet injection
1454,1,Timestamp-Dependency,code snippet injection
1330,1,Timestamp-Dependency,code snippet injection
1130,3,Timestamp-Dependency,code snippet injection
1126,3,Timestamp-Dependency,code snippet injection
1780,5,Timestamp-Dependency,code snippet injection
1748,4,Timestamp-Dependency,code snippet injection
1717,3,Timestamp-Dependency,code snippet injection
1704,5,Timestamp-Dependency,code snippet injection
1692,4,Timestamp-Dependency,code snippet injection
1678,5,Timestamp-Dependency,code snippet injection
1665,4,Timestamp-Dependency,code snippet injection
1651,3,Timestamp-Dependency,code snippet injection
1632,9,Timestamp-Dependency,code snippet injection
1619,3,Timestamp-Dependency,code snippet injection
1607,5,Timestamp-Dependency,code snippet injection
1591,9,Timestamp-Dependency,code snippet injection
1526,5,Timestamp-Dependency,code snippet injection
1512,9,Timestamp-Dependency,code snippet injection
1502,5,Timestamp-Dependency,code snippet injection
1495,3,Timestamp-Dependency,code snippet injection
1482,9,Timestamp-Dependency,code snippet injection
1464,9,Timestamp-Dependency,code snippet injection
1443,4,Timestamp-Dependency,code snippet injection
1415,9,Timestamp-Dependency,code snippet injection
1401,5,Timestamp-Dependency,code snippet injection
1384,9,Timestamp-Dependency,code snippet injection
1369,3,Timestamp-Dependency,code snippet injection
1351,3,Timestamp-Dependency,code snippet injection
1340,4,Timestamp-Dependency,code snippet injection
1310,4,Timestamp-Dependency,code snippet injection
1299,4,Timestamp-Dependency,code snippet injection
1272,9,Timestamp-Dependency,code snippet injection
1255,5,Timestamp-Dependency,code snippet injection
1243,5,Timestamp-Dependency,code snippet injection
1222,3,Timestamp-Dependency,code snippet injection
1196,4,Timestamp-Dependency,code snippet injection
1182,9,Timestamp-Dependency,code snippet injection
1173,4,Timestamp-Dependency,code snippet injection
1160,9,Timestamp-Dependency,code snippet injection
1153,3,Timestamp-Dependency,code snippet injection
1140,4,Timestamp-Dependency,code snippet injection
1077,5,Timestamp-Dependency,code snippet injection
