loc,length,bug type,approach
320,1,Timestamp-Dependency,code snippet injection
314,1,Timestamp-Dependency,code snippet injection
308,1,Timestamp-Dependency,code snippet injection
257,1,Timestamp-Dependency,code snippet injection
253,1,Timestamp-Dependency,code snippet injection
247,3,Timestamp-Dependency,code snippet injection
241,3,Timestamp-Dependency,code snippet injection
202,5,Timestamp-Dependency,code snippet injection
192,4,Timestamp-Dependency,code snippet injection
183,3,Timestamp-Dependency,code snippet injection
172,5,Timestamp-Dependency,code snippet injection
163,4,Timestamp-Dependency,code snippet injection
152,5,Timestamp-Dependency,code snippet injection
141,4,Timestamp-Dependency,code snippet injection
134,3,Timestamp-Dependency,code snippet injection
121,9,Timestamp-Dependency,code snippet injection
113,3,Timestamp-Dependency,code snippet injection
104,5,Timestamp-Dependency,code snippet injection
92,9,Timestamp-Dependency,code snippet injection
83,5,Timestamp-Dependency,code snippet injection
71,9,Timestamp-Dependency,code snippet injection
39,5,Timestamp-Dependency,code snippet injection
33,3,Timestamp-Dependency,code snippet injection
294,9,Timestamp-Dependency,code snippet injection
225,9,Timestamp-Dependency,code snippet injection
220,4,Timestamp-Dependency,code snippet injection
210,9,Timestamp-Dependency,code snippet injection
62,5,Timestamp-Dependency,code snippet injection
52,9,Timestamp-Dependency,code snippet injection
48,3,Timestamp-Dependency,code snippet injection
