loc,length,bug type,approach
100,1,Timestamp-Dependency,code snippet injection
98,1,Timestamp-Dependency,code snippet injection
96,1,Timestamp-Dependency,code snippet injection
94,1,Timestamp-Dependency,code snippet injection
135,1,Timestamp-Dependency,code snippet injection
627,3,Timestamp-Dependency,code snippet injection
619,3,Timestamp-Dependency,code snippet injection
613,5,Timestamp-Dependency,code snippet injection
608,4,Timestamp-Dependency,code snippet injection
604,3,Timestamp-Dependency,code snippet injection
597,5,Timestamp-Dependency,code snippet injection
590,4,Timestamp-Dependency,code snippet injection
582,5,Timestamp-Dependency,code snippet injection
574,4,Timestamp-Dependency,code snippet injection
552,3,Timestamp-Dependency,code snippet injection
539,9,Timestamp-Dependency,code snippet injection
533,3,Timestamp-Dependency,code snippet injection
524,5,Timestamp-Dependency,code snippet injection
512,9,Timestamp-Dependency,code snippet injection
504,5,Timestamp-Dependency,code snippet injection
491,9,Timestamp-Dependency,code snippet injection
453,5,Timestamp-Dependency,code snippet injection
417,3,Timestamp-Dependency,code snippet injection
374,9,Timestamp-Dependency,code snippet injection
350,9,Timestamp-Dependency,code snippet injection
271,4,Timestamp-Dependency,code snippet injection
197,9,Timestamp-Dependency,code snippet injection
87,5,Timestamp-Dependency,code snippet injection
77,9,Timestamp-Dependency,code snippet injection
73,3,Timestamp-Dependency,code snippet injection
57,3,Timestamp-Dependency,code snippet injection
52,4,Timestamp-Dependency,code snippet injection
47,4,Timestamp-Dependency,code snippet injection
42,4,Timestamp-Dependency,code snippet injection
32,9,Timestamp-Dependency,code snippet injection
26,5,Timestamp-Dependency,code snippet injection
20,5,Timestamp-Dependency,code snippet injection
