loc,length,bug type,approach
60,1,Timestamp-Dependency,code snippet injection
58,1,Timestamp-Dependency,code snippet injection
56,1,Timestamp-Dependency,code snippet injection
15,1,Timestamp-Dependency,code snippet injection
25,1,Timestamp-Dependency,code snippet injection
247,3,Timestamp-Dependency,code snippet injection
230,3,Timestamp-Dependency,code snippet injection
208,5,Timestamp-Dependency,code snippet injection
196,4,Timestamp-Dependency,code snippet injection
188,3,Timestamp-Dependency,code snippet injection
176,5,Timestamp-Dependency,code snippet injection
168,4,Timestamp-Dependency,code snippet injection
159,5,Timestamp-Dependency,code snippet injection
150,4,Timestamp-Dependency,code snippet injection
142,3,Timestamp-Dependency,code snippet injection
43,9,Timestamp-Dependency,code snippet injection
30,3,Timestamp-Dependency,code snippet injection
122,5,Timestamp-Dependency,code snippet injection
110,9,Timestamp-Dependency,code snippet injection
96,5,Timestamp-Dependency,code snippet injection
84,9,Timestamp-Dependency,code snippet injection
69,5,Timestamp-Dependency,code snippet injection
10,3,Timestamp-Dependency,code snippet injection
