loc,length,bug type,approach
1004,1,Timestamp-Dependency,code snippet injection
998,1,Timestamp-Dependency,code snippet injection
741,1,Timestamp-Dependency,code snippet injection
705,1,Timestamp-Dependency,code snippet injection
1460,1,Timestamp-Dependency,code snippet injection
1433,3,Timestamp-Dependency,code snippet injection
1421,3,Timestamp-Dependency,code snippet injection
1402,5,Timestamp-Dependency,code snippet injection
1387,4,Timestamp-Dependency,code snippet injection
1367,3,Timestamp-Dependency,code snippet injection
1356,5,Timestamp-Dependency,code snippet injection
1346,4,Timestamp-Dependency,code snippet injection
1335,5,Timestamp-Dependency,code snippet injection
1325,4,Timestamp-Dependency,code snippet injection
1316,3,Timestamp-Dependency,code snippet injection
1300,9,Timestamp-Dependency,code snippet injection
1291,3,Timestamp-Dependency,code snippet injection
1278,5,Timestamp-Dependency,code snippet injection
1264,9,Timestamp-Dependency,code snippet injection
1252,5,Timestamp-Dependency,code snippet injection
1239,9,Timestamp-Dependency,code snippet injection
1210,5,Timestamp-Dependency,code snippet injection
1189,3,Timestamp-Dependency,code snippet injection
1152,9,Timestamp-Dependency,code snippet injection
1136,9,Timestamp-Dependency,code snippet injection
1127,4,Timestamp-Dependency,code snippet injection
1092,9,Timestamp-Dependency,code snippet injection
1079,5,Timestamp-Dependency,code snippet injection
1065,9,Timestamp-Dependency,code snippet injection
1057,3,Timestamp-Dependency,code snippet injection
1045,3,Timestamp-Dependency,code snippet injection
1008,4,Timestamp-Dependency,code snippet injection
998,4,Timestamp-Dependency,code snippet injection
993,4,Timestamp-Dependency,code snippet injection
982,9,Timestamp-Dependency,code snippet injection
975,5,Timestamp-Dependency,code snippet injection
792,5,Timestamp-Dependency,code snippet injection
784,3,Timestamp-Dependency,code snippet injection
769,4,Timestamp-Dependency,code snippet injection
756,9,Timestamp-Dependency,code snippet injection
746,4,Timestamp-Dependency,code snippet injection
727,9,Timestamp-Dependency,code snippet injection
720,3,Timestamp-Dependency,code snippet injection
710,4,Timestamp-Dependency,code snippet injection
694,5,Timestamp-Dependency,code snippet injection
