loc,length,bug type,approach
513,1,Timestamp-Dependency,code snippet injection
508,1,Timestamp-Dependency,code snippet injection
503,1,Timestamp-Dependency,code snippet injection
498,1,Timestamp-Dependency,code snippet injection
492,1,Timestamp-Dependency,code snippet injection
484,3,Timestamp-Dependency,code snippet injection
475,3,Timestamp-Dependency,code snippet injection
465,5,Timestamp-Dependency,code snippet injection
456,4,Timestamp-Dependency,code snippet injection
447,3,Timestamp-Dependency,code snippet injection
437,5,Timestamp-Dependency,code snippet injection
428,4,Timestamp-Dependency,code snippet injection
417,5,Timestamp-Dependency,code snippet injection
359,4,Timestamp-Dependency,code snippet injection
355,3,Timestamp-Dependency,code snippet injection
297,9,Timestamp-Dependency,code snippet injection
293,3,Timestamp-Dependency,code snippet injection
245,5,Timestamp-Dependency,code snippet injection
235,9,Timestamp-Dependency,code snippet injection
13,5,Timestamp-Dependency,code snippet injection
1241,9,Timestamp-Dependency,code snippet injection
1209,5,Timestamp-Dependency,code snippet injection
1173,3,Timestamp-Dependency,code snippet injection
1152,9,Timestamp-Dependency,code snippet injection
1119,9,Timestamp-Dependency,code snippet injection
1095,4,Timestamp-Dependency,code snippet injection
1056,9,Timestamp-Dependency,code snippet injection
1011,5,Timestamp-Dependency,code snippet injection
987,9,Timestamp-Dependency,code snippet injection
966,3,Timestamp-Dependency,code snippet injection
950,3,Timestamp-Dependency,code snippet injection
926,4,Timestamp-Dependency,code snippet injection
910,4,Timestamp-Dependency,code snippet injection
893,4,Timestamp-Dependency,code snippet injection
872,9,Timestamp-Dependency,code snippet injection
854,5,Timestamp-Dependency,code snippet injection
841,5,Timestamp-Dependency,code snippet injection
827,3,Timestamp-Dependency,code snippet injection
807,4,Timestamp-Dependency,code snippet injection
775,9,Timestamp-Dependency,code snippet injection
712,4,Timestamp-Dependency,code snippet injection
603,9,Timestamp-Dependency,code snippet injection
565,3,Timestamp-Dependency,code snippet injection
525,4,Timestamp-Dependency,code snippet injection
400,5,Timestamp-Dependency,code snippet injection
