loc,length,bug type,approach
213,1,Timestamp-Dependency,code snippet injection
388,1,Timestamp-Dependency,code snippet injection
382,1,Timestamp-Dependency,code snippet injection
374,1,Timestamp-Dependency,code snippet injection
367,1,Timestamp-Dependency,code snippet injection
357,3,Timestamp-Dependency,code snippet injection
347,3,Timestamp-Dependency,code snippet injection
335,5,Timestamp-Dependency,code snippet injection
322,4,Timestamp-Dependency,code snippet injection
307,3,Timestamp-Dependency,code snippet injection
294,5,Timestamp-Dependency,code snippet injection
283,4,Timestamp-Dependency,code snippet injection
272,5,Timestamp-Dependency,code snippet injection
263,4,Timestamp-Dependency,code snippet injection
255,3,Timestamp-Dependency,code snippet injection
242,9,Timestamp-Dependency,code snippet injection
235,3,Timestamp-Dependency,code snippet injection
226,5,Timestamp-Dependency,code snippet injection
121,9,Timestamp-Dependency,code snippet injection
112,5,Timestamp-Dependency,code snippet injection
99,9,Timestamp-Dependency,code snippet injection
90,5,Timestamp-Dependency,code snippet injection
215,3,Timestamp-Dependency,code snippet injection
197,9,Timestamp-Dependency,code snippet injection
187,9,Timestamp-Dependency,code snippet injection
178,4,Timestamp-Dependency,code snippet injection
168,9,Timestamp-Dependency,code snippet injection
162,5,Timestamp-Dependency,code snippet injection
152,9,Timestamp-Dependency,code snippet injection
148,3,Timestamp-Dependency,code snippet injection
144,3,Timestamp-Dependency,code snippet injection
138,4,Timestamp-Dependency,code snippet injection
77,4,Timestamp-Dependency,code snippet injection
72,4,Timestamp-Dependency,code snippet injection
62,9,Timestamp-Dependency,code snippet injection
