loc,length,bug type,approach
317,1,Timestamp-Dependency,code snippet injection
314,1,Timestamp-Dependency,code snippet injection
310,1,Timestamp-Dependency,code snippet injection
307,1,Timestamp-Dependency,code snippet injection
303,1,Timestamp-Dependency,code snippet injection
937,3,Timestamp-Dependency,code snippet injection
923,3,Timestamp-Dependency,code snippet injection
907,5,Timestamp-Dependency,code snippet injection
883,4,Timestamp-Dependency,code snippet injection
869,3,Timestamp-Dependency,code snippet injection
855,5,Timestamp-Dependency,code snippet injection
840,4,Timestamp-Dependency,code snippet injection
826,5,Timestamp-Dependency,code snippet injection
812,4,Timestamp-Dependency,code snippet injection
801,3,Timestamp-Dependency,code snippet injection
784,9,Timestamp-Dependency,code snippet injection
776,3,Timestamp-Dependency,code snippet injection
718,5,Timestamp-Dependency,code snippet injection
690,9,Timestamp-Dependency,code snippet injection
659,5,Timestamp-Dependency,code snippet injection
612,9,Timestamp-Dependency,code snippet injection
553,5,Timestamp-Dependency,code snippet injection
479,3,Timestamp-Dependency,code snippet injection
456,9,Timestamp-Dependency,code snippet injection
438,9,Timestamp-Dependency,code snippet injection
417,4,Timestamp-Dependency,code snippet injection
397,9,Timestamp-Dependency,code snippet injection
378,5,Timestamp-Dependency,code snippet injection
358,9,Timestamp-Dependency,code snippet injection
346,3,Timestamp-Dependency,code snippet injection
104,3,Timestamp-Dependency,code snippet injection
90,4,Timestamp-Dependency,code snippet injection
77,4,Timestamp-Dependency,code snippet injection
69,4,Timestamp-Dependency,code snippet injection
54,9,Timestamp-Dependency,code snippet injection
44,5,Timestamp-Dependency,code snippet injection
32,5,Timestamp-Dependency,code snippet injection
297,3,Timestamp-Dependency,code snippet injection
290,4,Timestamp-Dependency,code snippet injection
278,9,Timestamp-Dependency,code snippet injection
271,4,Timestamp-Dependency,code snippet injection
259,9,Timestamp-Dependency,code snippet injection
253,3,Timestamp-Dependency,code snippet injection
246,4,Timestamp-Dependency,code snippet injection
238,5,Timestamp-Dependency,code snippet injection
