loc,length,bug type,approach
730,1,Timestamp-Dependency,code snippet injection
728,1,Timestamp-Dependency,code snippet injection
726,1,Timestamp-Dependency,code snippet injection
724,1,Timestamp-Dependency,code snippet injection
268,1,Timestamp-Dependency,code snippet injection
882,3,Timestamp-Dependency,code snippet injection
871,3,Timestamp-Dependency,code snippet injection
862,5,Timestamp-Dependency,code snippet injection
853,4,Timestamp-Dependency,code snippet injection
846,3,Timestamp-Dependency,code snippet injection
828,5,Timestamp-Dependency,code snippet injection
815,4,Timestamp-Dependency,code snippet injection
805,5,Timestamp-Dependency,code snippet injection
795,4,Timestamp-Dependency,code snippet injection
785,3,Timestamp-Dependency,code snippet injection
768,9,Timestamp-Dependency,code snippet injection
751,3,Timestamp-Dependency,code snippet injection
663,5,Timestamp-Dependency,code snippet injection
648,9,Timestamp-Dependency,code snippet injection
637,5,Timestamp-Dependency,code snippet injection
624,9,Timestamp-Dependency,code snippet injection
363,5,Timestamp-Dependency,code snippet injection
351,3,Timestamp-Dependency,code snippet injection
334,9,Timestamp-Dependency,code snippet injection
313,9,Timestamp-Dependency,code snippet injection
294,4,Timestamp-Dependency,code snippet injection
278,9,Timestamp-Dependency,code snippet injection
236,5,Timestamp-Dependency,code snippet injection
222,9,Timestamp-Dependency,code snippet injection
214,3,Timestamp-Dependency,code snippet injection
719,3,Timestamp-Dependency,code snippet injection
714,4,Timestamp-Dependency,code snippet injection
709,4,Timestamp-Dependency,code snippet injection
704,4,Timestamp-Dependency,code snippet injection
694,9,Timestamp-Dependency,code snippet injection
688,5,Timestamp-Dependency,code snippet injection
682,5,Timestamp-Dependency,code snippet injection
678,3,Timestamp-Dependency,code snippet injection
672,4,Timestamp-Dependency,code snippet injection
610,9,Timestamp-Dependency,code snippet injection
605,4,Timestamp-Dependency,code snippet injection
257,9,Timestamp-Dependency,code snippet injection
