loc,length,bug type,approach
46,1,Timestamp-Dependency,code snippet injection
15,1,Timestamp-Dependency,code snippet injection
73,1,Timestamp-Dependency,code snippet injection
311,1,Timestamp-Dependency,code snippet injection
306,1,Timestamp-Dependency,code snippet injection
292,3,Timestamp-Dependency,code snippet injection
280,3,Timestamp-Dependency,code snippet injection
264,5,Timestamp-Dependency,code snippet injection
250,4,Timestamp-Dependency,code snippet injection
234,3,Timestamp-Dependency,code snippet injection
218,5,Timestamp-Dependency,code snippet injection
172,4,Timestamp-Dependency,code snippet injection
161,5,Timestamp-Dependency,code snippet injection
150,4,Timestamp-Dependency,code snippet injection
137,3,Timestamp-Dependency,code snippet injection
79,9,Timestamp-Dependency,code snippet injection
65,3,Timestamp-Dependency,code snippet injection
46,5,Timestamp-Dependency,code snippet injection
36,9,Timestamp-Dependency,code snippet injection
30,5,Timestamp-Dependency,code snippet injection
15,9,Timestamp-Dependency,code snippet injection
9,5,Timestamp-Dependency,code snippet injection
5,3,Timestamp-Dependency,code snippet injection
196,9,Timestamp-Dependency,code snippet injection
186,9,Timestamp-Dependency,code snippet injection
181,4,Timestamp-Dependency,code snippet injection
116,9,Timestamp-Dependency,code snippet injection
110,5,Timestamp-Dependency,code snippet injection
100,9,Timestamp-Dependency,code snippet injection
96,3,Timestamp-Dependency,code snippet injection
92,3,Timestamp-Dependency,code snippet injection
56,4,Timestamp-Dependency,code snippet injection
