loc,length,bug type,approach
145,1,Timestamp-Dependency,code snippet injection
31,1,Timestamp-Dependency,code snippet injection
143,1,Timestamp-Dependency,code snippet injection
82,1,Timestamp-Dependency,code snippet injection
52,1,Timestamp-Dependency,code snippet injection
290,3,Timestamp-Dependency,code snippet injection
281,3,Timestamp-Dependency,code snippet injection
269,5,Timestamp-Dependency,code snippet injection
261,4,Timestamp-Dependency,code snippet injection
253,3,Timestamp-Dependency,code snippet injection
242,5,Timestamp-Dependency,code snippet injection
231,4,Timestamp-Dependency,code snippet injection
216,5,Timestamp-Dependency,code snippet injection
173,4,Timestamp-Dependency,code snippet injection
166,3,Timestamp-Dependency,code snippet injection
152,9,Timestamp-Dependency,code snippet injection
75,3,Timestamp-Dependency,code snippet injection
69,5,Timestamp-Dependency,code snippet injection
296,9,Timestamp-Dependency,code snippet injection
135,5,Timestamp-Dependency,code snippet injection
123,9,Timestamp-Dependency,code snippet injection
115,5,Timestamp-Dependency,code snippet injection
109,3,Timestamp-Dependency,code snippet injection
99,9,Timestamp-Dependency,code snippet injection
89,9,Timestamp-Dependency,code snippet injection
84,4,Timestamp-Dependency,code snippet injection
58,9,Timestamp-Dependency,code snippet injection
