loc,length,bug type,approach
1001,1,Timestamp-Dependency,code snippet injection
890,1,Timestamp-Dependency,code snippet injection
888,1,Timestamp-Dependency,code snippet injection
886,1,Timestamp-Dependency,code snippet injection
757,1,Timestamp-Dependency,code snippet injection
753,3,Timestamp-Dependency,code snippet injection
217,3,Timestamp-Dependency,code snippet injection
195,5,Timestamp-Dependency,code snippet injection
153,4,Timestamp-Dependency,code snippet injection
56,3,Timestamp-Dependency,code snippet injection
50,5,Timestamp-Dependency,code snippet injection
996,4,Timestamp-Dependency,code snippet injection
989,5,Timestamp-Dependency,code snippet injection
983,4,Timestamp-Dependency,code snippet injection
979,3,Timestamp-Dependency,code snippet injection
969,9,Timestamp-Dependency,code snippet injection
964,3,Timestamp-Dependency,code snippet injection
953,5,Timestamp-Dependency,code snippet injection
938,9,Timestamp-Dependency,code snippet injection
929,5,Timestamp-Dependency,code snippet injection
906,9,Timestamp-Dependency,code snippet injection
880,5,Timestamp-Dependency,code snippet injection
871,3,Timestamp-Dependency,code snippet injection
860,9,Timestamp-Dependency,code snippet injection
844,9,Timestamp-Dependency,code snippet injection
826,4,Timestamp-Dependency,code snippet injection
809,9,Timestamp-Dependency,code snippet injection
786,5,Timestamp-Dependency,code snippet injection
743,9,Timestamp-Dependency,code snippet injection
718,3,Timestamp-Dependency,code snippet injection
705,3,Timestamp-Dependency,code snippet injection
688,4,Timestamp-Dependency,code snippet injection
677,4,Timestamp-Dependency,code snippet injection
667,4,Timestamp-Dependency,code snippet injection
651,9,Timestamp-Dependency,code snippet injection
627,5,Timestamp-Dependency,code snippet injection
614,5,Timestamp-Dependency,code snippet injection
602,3,Timestamp-Dependency,code snippet injection
597,4,Timestamp-Dependency,code snippet injection
580,9,Timestamp-Dependency,code snippet injection
536,4,Timestamp-Dependency,code snippet injection
365,9,Timestamp-Dependency,code snippet injection
336,3,Timestamp-Dependency,code snippet injection
319,4,Timestamp-Dependency,code snippet injection
306,5,Timestamp-Dependency,code snippet injection
