loc,length,bug type,approach
274,1,Timestamp-Dependency,code snippet injection
157,1,Timestamp-Dependency,code snippet injection
301,1,Timestamp-Dependency,code snippet injection
435,1,Timestamp-Dependency,code snippet injection
408,1,Timestamp-Dependency,code snippet injection
397,3,Timestamp-Dependency,code snippet injection
382,3,Timestamp-Dependency,code snippet injection
367,5,Timestamp-Dependency,code snippet injection
348,4,Timestamp-Dependency,code snippet injection
336,3,Timestamp-Dependency,code snippet injection
320,5,Timestamp-Dependency,code snippet injection
309,4,Timestamp-Dependency,code snippet injection
248,5,Timestamp-Dependency,code snippet injection
215,4,Timestamp-Dependency,code snippet injection
198,3,Timestamp-Dependency,code snippet injection
180,9,Timestamp-Dependency,code snippet injection
101,3,Timestamp-Dependency,code snippet injection
87,5,Timestamp-Dependency,code snippet injection
70,9,Timestamp-Dependency,code snippet injection
38,5,Timestamp-Dependency,code snippet injection
24,9,Timestamp-Dependency,code snippet injection
282,5,Timestamp-Dependency,code snippet injection
165,3,Timestamp-Dependency,code snippet injection
