loc,length,bug type,approach
259,1,Timestamp-Dependency,code snippet injection
148,1,Timestamp-Dependency,code snippet injection
285,1,Timestamp-Dependency,code snippet injection
446,1,Timestamp-Dependency,code snippet injection
422,1,Timestamp-Dependency,code snippet injection
394,3,Timestamp-Dependency,code snippet injection
383,3,Timestamp-Dependency,code snippet injection
366,5,Timestamp-Dependency,code snippet injection
352,4,Timestamp-Dependency,code snippet injection
334,3,Timestamp-Dependency,code snippet injection
320,5,Timestamp-Dependency,code snippet injection
305,4,Timestamp-Dependency,code snippet injection
293,5,Timestamp-Dependency,code snippet injection
239,4,Timestamp-Dependency,code snippet injection
212,3,Timestamp-Dependency,code snippet injection
189,9,Timestamp-Dependency,code snippet injection
177,3,Timestamp-Dependency,code snippet injection
100,5,Timestamp-Dependency,code snippet injection
82,9,Timestamp-Dependency,code snippet injection
69,5,Timestamp-Dependency,code snippet injection
33,9,Timestamp-Dependency,code snippet injection
23,5,Timestamp-Dependency,code snippet injection
268,3,Timestamp-Dependency,code snippet injection
156,9,Timestamp-Dependency,code snippet injection
