loc,length,bug type,approach
132,1,Timestamp-Dependency,code snippet injection
98,1,Timestamp-Dependency,code snippet injection
96,1,Timestamp-Dependency,code snippet injection
146,1,Timestamp-Dependency,code snippet injection
374,1,Timestamp-Dependency,code snippet injection
363,3,Timestamp-Dependency,code snippet injection
352,3,Timestamp-Dependency,code snippet injection
334,5,Timestamp-Dependency,code snippet injection
321,4,Timestamp-Dependency,code snippet injection
300,3,Timestamp-Dependency,code snippet injection
280,5,Timestamp-Dependency,code snippet injection
263,4,Timestamp-Dependency,code snippet injection
250,5,Timestamp-Dependency,code snippet injection
238,4,Timestamp-Dependency,code snippet injection
166,3,Timestamp-Dependency,code snippet injection
151,9,Timestamp-Dependency,code snippet injection
138,3,Timestamp-Dependency,code snippet injection
110,5,Timestamp-Dependency,code snippet injection
86,9,Timestamp-Dependency,code snippet injection
80,5,Timestamp-Dependency,code snippet injection
70,9,Timestamp-Dependency,code snippet injection
64,5,Timestamp-Dependency,code snippet injection
60,3,Timestamp-Dependency,code snippet injection
50,9,Timestamp-Dependency,code snippet injection
215,9,Timestamp-Dependency,code snippet injection
210,4,Timestamp-Dependency,code snippet injection
199,9,Timestamp-Dependency,code snippet injection
193,5,Timestamp-Dependency,code snippet injection
183,9,Timestamp-Dependency,code snippet injection
179,3,Timestamp-Dependency,code snippet injection
127,3,Timestamp-Dependency,code snippet injection
122,4,Timestamp-Dependency,code snippet injection
