loc,length,bug type,approach
416,1,Timestamp-Dependency,code snippet injection
394,1,Timestamp-Dependency,code snippet injection
380,1,Timestamp-Dependency,code snippet injection
365,1,Timestamp-Dependency,code snippet injection
350,1,Timestamp-Dependency,code snippet injection
332,3,Timestamp-Dependency,code snippet injection
315,3,Timestamp-Dependency,code snippet injection
295,5,Timestamp-Dependency,code snippet injection
276,4,Timestamp-Dependency,code snippet injection
259,3,Timestamp-Dependency,code snippet injection
240,5,Timestamp-Dependency,code snippet injection
226,4,Timestamp-Dependency,code snippet injection
211,5,Timestamp-Dependency,code snippet injection
198,4,Timestamp-Dependency,code snippet injection
159,3,Timestamp-Dependency,code snippet injection
143,9,Timestamp-Dependency,code snippet injection
133,3,Timestamp-Dependency,code snippet injection
121,5,Timestamp-Dependency,code snippet injection
401,9,Timestamp-Dependency,code snippet injection
185,5,Timestamp-Dependency,code snippet injection
174,9,Timestamp-Dependency,code snippet injection
167,5,Timestamp-Dependency,code snippet injection
111,3,Timestamp-Dependency,code snippet injection
101,9,Timestamp-Dependency,code snippet injection
91,9,Timestamp-Dependency,code snippet injection
