loc,length,bug type,approach
484,1,Timestamp-Dependency,code snippet injection
473,1,Timestamp-Dependency,code snippet injection
463,1,Timestamp-Dependency,code snippet injection
443,1,Timestamp-Dependency,code snippet injection
435,1,Timestamp-Dependency,code snippet injection
425,3,Timestamp-Dependency,code snippet injection
415,3,Timestamp-Dependency,code snippet injection
370,5,Timestamp-Dependency,code snippet injection
353,4,Timestamp-Dependency,code snippet injection
336,3,Timestamp-Dependency,code snippet injection
317,5,Timestamp-Dependency,code snippet injection
298,4,Timestamp-Dependency,code snippet injection
279,5,Timestamp-Dependency,code snippet injection
260,4,Timestamp-Dependency,code snippet injection
242,3,Timestamp-Dependency,code snippet injection
219,9,Timestamp-Dependency,code snippet injection
202,3,Timestamp-Dependency,code snippet injection
187,5,Timestamp-Dependency,code snippet injection
168,9,Timestamp-Dependency,code snippet injection
154,5,Timestamp-Dependency,code snippet injection
399,9,Timestamp-Dependency,code snippet injection
393,5,Timestamp-Dependency,code snippet injection
389,3,Timestamp-Dependency,code snippet injection
137,9,Timestamp-Dependency,code snippet injection
126,9,Timestamp-Dependency,code snippet injection
120,4,Timestamp-Dependency,code snippet injection
