loc,length,bug type,approach
392,1,Timestamp-Dependency,code snippet injection
269,1,Timestamp-Dependency,code snippet injection
266,1,Timestamp-Dependency,code snippet injection
263,1,Timestamp-Dependency,code snippet injection
152,1,Timestamp-Dependency,code snippet injection
148,3,Timestamp-Dependency,code snippet injection
60,3,Timestamp-Dependency,code snippet injection
439,5,Timestamp-Dependency,code snippet injection
422,4,Timestamp-Dependency,code snippet injection
415,3,Timestamp-Dependency,code snippet injection
406,5,Timestamp-Dependency,code snippet injection
397,4,Timestamp-Dependency,code snippet injection
376,5,Timestamp-Dependency,code snippet injection
363,4,Timestamp-Dependency,code snippet injection
352,3,Timestamp-Dependency,code snippet injection
332,9,Timestamp-Dependency,code snippet injection
321,3,Timestamp-Dependency,code snippet injection
309,5,Timestamp-Dependency,code snippet injection
294,9,Timestamp-Dependency,code snippet injection
279,5,Timestamp-Dependency,code snippet injection
209,9,Timestamp-Dependency,code snippet injection
198,5,Timestamp-Dependency,code snippet injection
177,3,Timestamp-Dependency,code snippet injection
163,9,Timestamp-Dependency,code snippet injection
134,9,Timestamp-Dependency,code snippet injection
123,4,Timestamp-Dependency,code snippet injection
109,9,Timestamp-Dependency,code snippet injection
98,5,Timestamp-Dependency,code snippet injection
78,9,Timestamp-Dependency,code snippet injection
70,3,Timestamp-Dependency,code snippet injection
387,3,Timestamp-Dependency,code snippet injection
257,4,Timestamp-Dependency,code snippet injection
252,4,Timestamp-Dependency,code snippet injection
246,4,Timestamp-Dependency,code snippet injection
236,9,Timestamp-Dependency,code snippet injection
230,5,Timestamp-Dependency,code snippet injection
224,5,Timestamp-Dependency,code snippet injection
155,3,Timestamp-Dependency,code snippet injection
54,4,Timestamp-Dependency,code snippet injection
