loc,length,bug type,approach
681,2,Unchecked-Send,code snippet injection
1178,2,Unchecked-Send,code snippet injection
1160,2,Unchecked-Send,code snippet injection
1146,2,Unchecked-Send,code snippet injection
1128,2,Unchecked-Send,code snippet injection
1118,2,Unchecked-Send,code snippet injection
1109,2,Unchecked-Send,code snippet injection
1101,2,Unchecked-Send,code snippet injection
1095,2,Unchecked-Send,code snippet injection
1087,2,Unchecked-Send,code snippet injection
1059,2,Unchecked-Send,code snippet injection
1028,2,Unchecked-Send,code snippet injection
966,2,Unchecked-Send,code snippet injection
938,2,Unchecked-Send,code snippet injection
762,2,Unchecked-Send,code snippet injection
743,2,Unchecked-Send,code snippet injection
733,2,Unchecked-Send,code snippet injection
718,2,Unchecked-Send,code snippet injection
701,2,Unchecked-Send,code snippet injection
692,2,Unchecked-Send,code snippet injection
656,2,Unchecked-Send,code snippet injection
647,2,Unchecked-Send,code snippet injection
638,2,Unchecked-Send,code snippet injection
627,2,Unchecked-Send,code snippet injection
609,2,Unchecked-Send,code snippet injection
593,2,Unchecked-Send,code snippet injection
585,2,Unchecked-Send,code snippet injection
560,2,Unchecked-Send,code snippet injection
547,2,Unchecked-Send,code snippet injection
524,2,Unchecked-Send,code snippet injection
503,2,Unchecked-Send,code snippet injection
484,2,Unchecked-Send,code snippet injection
