loc,length,bug type,approach
727,2,Unchecked-Send,code snippet injection
724,2,Unchecked-Send,code snippet injection
721,2,Unchecked-Send,code snippet injection
529,2,Unchecked-Send,code snippet injection
526,2,Unchecked-Send,code snippet injection
35,2,Unchecked-Send,code snippet injection
2094,2,Unchecked-Send,code snippet injection
2057,2,Unchecked-Send,code snippet injection
2041,2,Unchecked-Send,code snippet injection
1984,2,Unchecked-Send,code snippet injection
1977,2,Unchecked-Send,code snippet injection
1963,2,Unchecked-Send,code snippet injection
1956,2,Unchecked-Send,code snippet injection
1948,2,Unchecked-Send,code snippet injection
1940,2,Unchecked-Send,code snippet injection
1931,2,Unchecked-Send,code snippet injection
1924,2,Unchecked-Send,code snippet injection
1916,2,Unchecked-Send,code snippet injection
1908,2,Unchecked-Send,code snippet injection
1901,2,Unchecked-Send,code snippet injection
1893,2,Unchecked-Send,code snippet injection
1886,2,Unchecked-Send,code snippet injection
1879,2,Unchecked-Send,code snippet injection
1871,2,Unchecked-Send,code snippet injection
1862,2,Unchecked-Send,code snippet injection
1854,2,Unchecked-Send,code snippet injection
1847,2,Unchecked-Send,code snippet injection
1840,2,Unchecked-Send,code snippet injection
1833,2,Unchecked-Send,code snippet injection
1826,2,Unchecked-Send,code snippet injection
1819,2,Unchecked-Send,code snippet injection
784,2,Unchecked-Send,code snippet injection
