loc,length,bug type,approach
396,2,Unchecked-Send,code snippet injection
393,2,Unchecked-Send,code snippet injection
528,2,Unchecked-Send,code snippet injection
519,2,Unchecked-Send,code snippet injection
510,2,Unchecked-Send,code snippet injection
492,2,Unchecked-Send,code snippet injection
481,2,Unchecked-Send,code snippet injection
463,2,Unchecked-Send,code snippet injection
442,2,Unchecked-Send,code snippet injection
435,2,Unchecked-Send,code snippet injection
428,2,Unchecked-Send,code snippet injection
422,2,Unchecked-Send,code snippet injection
416,2,Unchecked-Send,code snippet injection
405,2,Unchecked-Send,code snippet injection
344,2,Unchecked-Send,code snippet injection
335,2,Unchecked-Send,code snippet injection
326,2,Unchecked-Send,code snippet injection
317,2,Unchecked-Send,code snippet injection
295,2,Unchecked-Send,code snippet injection
279,2,Unchecked-Send,code snippet injection
263,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
230,2,Unchecked-Send,code snippet injection
210,2,Unchecked-Send,code snippet injection
190,2,Unchecked-Send,code snippet injection
173,2,Unchecked-Send,code snippet injection
154,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
130,2,Unchecked-Send,code snippet injection
119,2,Unchecked-Send,code snippet injection
502,2,Unchecked-Send,code snippet injection
499,2,Unchecked-Send,code snippet injection
