loc,length,bug type,approach
244,2,Unchecked-Send,code snippet injection
237,2,Unchecked-Send,code snippet injection
234,2,Unchecked-Send,code snippet injection
165,2,Unchecked-Send,code snippet injection
162,2,Unchecked-Send,code snippet injection
84,2,Unchecked-Send,code snippet injection
485,2,Unchecked-Send,code snippet injection
468,2,Unchecked-Send,code snippet injection
455,2,Unchecked-Send,code snippet injection
445,2,Unchecked-Send,code snippet injection
427,2,Unchecked-Send,code snippet injection
411,2,Unchecked-Send,code snippet injection
395,2,Unchecked-Send,code snippet injection
381,2,Unchecked-Send,code snippet injection
369,2,Unchecked-Send,code snippet injection
357,2,Unchecked-Send,code snippet injection
345,2,Unchecked-Send,code snippet injection
332,2,Unchecked-Send,code snippet injection
320,2,Unchecked-Send,code snippet injection
309,2,Unchecked-Send,code snippet injection
300,2,Unchecked-Send,code snippet injection
291,2,Unchecked-Send,code snippet injection
282,2,Unchecked-Send,code snippet injection
273,2,Unchecked-Send,code snippet injection
263,2,Unchecked-Send,code snippet injection
254,2,Unchecked-Send,code snippet injection
217,2,Unchecked-Send,code snippet injection
207,2,Unchecked-Send,code snippet injection
181,2,Unchecked-Send,code snippet injection
172,2,Unchecked-Send,code snippet injection
151,2,Unchecked-Send,code snippet injection
137,2,Unchecked-Send,code snippet injection
