loc,length,bug type,approach
408,2,Unchecked-Send,code snippet injection
404,2,Unchecked-Send,code snippet injection
400,2,Unchecked-Send,code snippet injection
396,2,Unchecked-Send,code snippet injection
392,2,Unchecked-Send,code snippet injection
388,2,Unchecked-Send,code snippet injection
384,2,Unchecked-Send,code snippet injection
380,2,Unchecked-Send,code snippet injection
371,2,Unchecked-Send,code snippet injection
367,2,Unchecked-Send,code snippet injection
363,2,Unchecked-Send,code snippet injection
221,2,Unchecked-Send,code snippet injection
1370,2,Unchecked-Send,code snippet injection
1357,2,Unchecked-Send,code snippet injection
1343,2,Unchecked-Send,code snippet injection
1295,2,Unchecked-Send,code snippet injection
1265,2,Unchecked-Send,code snippet injection
1245,2,Unchecked-Send,code snippet injection
1234,2,Unchecked-Send,code snippet injection
1215,2,Unchecked-Send,code snippet injection
1204,2,Unchecked-Send,code snippet injection
1185,2,Unchecked-Send,code snippet injection
1170,2,Unchecked-Send,code snippet injection
1164,2,Unchecked-Send,code snippet injection
1118,2,Unchecked-Send,code snippet injection
1108,2,Unchecked-Send,code snippet injection
1099,2,Unchecked-Send,code snippet injection
1077,2,Unchecked-Send,code snippet injection
1055,2,Unchecked-Send,code snippet injection
1033,2,Unchecked-Send,code snippet injection
1024,2,Unchecked-Send,code snippet injection
1012,2,Unchecked-Send,code snippet injection
