loc,length,bug type,approach
1160,2,Unchecked-Send,code snippet injection
1153,2,Unchecked-Send,code snippet injection
1150,2,Unchecked-Send,code snippet injection
1147,2,Unchecked-Send,code snippet injection
1139,2,Unchecked-Send,code snippet injection
1136,2,Unchecked-Send,code snippet injection
1132,2,Unchecked-Send,code snippet injection
1129,2,Unchecked-Send,code snippet injection
1126,2,Unchecked-Send,code snippet injection
1123,2,Unchecked-Send,code snippet injection
1120,2,Unchecked-Send,code snippet injection
1117,2,Unchecked-Send,code snippet injection
1109,2,Unchecked-Send,code snippet injection
1105,2,Unchecked-Send,code snippet injection
1102,2,Unchecked-Send,code snippet injection
1099,2,Unchecked-Send,code snippet injection
1096,2,Unchecked-Send,code snippet injection
1093,2,Unchecked-Send,code snippet injection
1090,2,Unchecked-Send,code snippet injection
1087,2,Unchecked-Send,code snippet injection
1084,2,Unchecked-Send,code snippet injection
1068,2,Unchecked-Send,code snippet injection
1052,2,Unchecked-Send,code snippet injection
1043,2,Unchecked-Send,code snippet injection
629,2,Unchecked-Send,code snippet injection
626,2,Unchecked-Send,code snippet injection
623,2,Unchecked-Send,code snippet injection
620,2,Unchecked-Send,code snippet injection
617,2,Unchecked-Send,code snippet injection
614,2,Unchecked-Send,code snippet injection
152,2,Unchecked-Send,code snippet injection
149,2,Unchecked-Send,code snippet injection
