loc,length,bug type,approach
201,2,Unchecked-Send,code snippet injection
194,2,Unchecked-Send,code snippet injection
137,2,Unchecked-Send,code snippet injection
132,2,Unchecked-Send,code snippet injection
127,2,Unchecked-Send,code snippet injection
122,2,Unchecked-Send,code snippet injection
102,2,Unchecked-Send,code snippet injection
92,2,Unchecked-Send,code snippet injection
84,2,Unchecked-Send,code snippet injection
73,2,Unchecked-Send,code snippet injection
66,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
55,2,Unchecked-Send,code snippet injection
49,2,Unchecked-Send,code snippet injection
44,2,Unchecked-Send,code snippet injection
23,2,Unchecked-Send,code snippet injection
18,2,Unchecked-Send,code snippet injection
185,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
179,2,Unchecked-Send,code snippet injection
176,2,Unchecked-Send,code snippet injection
113,2,Unchecked-Send,code snippet injection
110,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
38,2,Unchecked-Send,code snippet injection
34,2,Unchecked-Send,code snippet injection
30,2,Unchecked-Send,code snippet injection
