loc,length,bug type,approach
5959,2,Unchecked-Send,code snippet injection
5884,2,Unchecked-Send,code snippet injection
5857,2,Unchecked-Send,code snippet injection
5829,2,Unchecked-Send,code snippet injection
5773,2,Unchecked-Send,code snippet injection
5672,2,Unchecked-Send,code snippet injection
5651,2,Unchecked-Send,code snippet injection
5579,2,Unchecked-Send,code snippet injection
5548,2,Unchecked-Send,code snippet injection
5532,2,Unchecked-Send,code snippet injection
5504,2,Unchecked-Send,code snippet injection
5501,2,Unchecked-Send,code snippet injection
5498,2,Unchecked-Send,code snippet injection
5481,2,Unchecked-Send,code snippet injection
5401,2,Unchecked-Send,code snippet injection
5315,2,Unchecked-Send,code snippet injection
5243,2,Unchecked-Send,code snippet injection
5222,2,Unchecked-Send,code snippet injection
5180,2,Unchecked-Send,code snippet injection
5087,2,Unchecked-Send,code snippet injection
5066,2,Unchecked-Send,code snippet injection
5006,2,Unchecked-Send,code snippet injection
4975,2,Unchecked-Send,code snippet injection
4908,2,Unchecked-Send,code snippet injection
4871,2,Unchecked-Send,code snippet injection
4850,2,Unchecked-Send,code snippet injection
4783,2,Unchecked-Send,code snippet injection
4752,2,Unchecked-Send,code snippet injection
4725,2,Unchecked-Send,code snippet injection
4720,2,Unchecked-Send,code snippet injection
4715,2,Unchecked-Send,code snippet injection
4710,2,Unchecked-Send,code snippet injection
