loc,length,bug type,approach
209,2,Unchecked-Send,code snippet injection
198,2,Unchecked-Send,code snippet injection
185,2,Unchecked-Send,code snippet injection
172,2,Unchecked-Send,code snippet injection
164,2,Unchecked-Send,code snippet injection
158,2,Unchecked-Send,code snippet injection
150,2,Unchecked-Send,code snippet injection
136,2,Unchecked-Send,code snippet injection
130,2,Unchecked-Send,code snippet injection
119,2,Unchecked-Send,code snippet injection
110,2,Unchecked-Send,code snippet injection
101,2,Unchecked-Send,code snippet injection
92,2,Unchecked-Send,code snippet injection
83,2,Unchecked-Send,code snippet injection
49,2,Unchecked-Send,code snippet injection
72,2,Unchecked-Send,code snippet injection
69,2,Unchecked-Send,code snippet injection
65,2,Unchecked-Send,code snippet injection
62,2,Unchecked-Send,code snippet injection
59,2,Unchecked-Send,code snippet injection
56,2,Unchecked-Send,code snippet injection
