loc,length,bug type,approach
74,2,Unchecked-Send,code snippet injection
67,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
375,2,Unchecked-Send,code snippet injection
369,2,Unchecked-Send,code snippet injection
359,2,Unchecked-Send,code snippet injection
349,2,Unchecked-Send,code snippet injection
339,2,Unchecked-Send,code snippet injection
329,2,Unchecked-Send,code snippet injection
321,2,Unchecked-Send,code snippet injection
271,2,Unchecked-Send,code snippet injection
264,2,Unchecked-Send,code snippet injection
256,2,Unchecked-Send,code snippet injection
193,2,Unchecked-Send,code snippet injection
180,2,Unchecked-Send,code snippet injection
174,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
131,2,Unchecked-Send,code snippet injection
110,2,Unchecked-Send,code snippet injection
106,2,Unchecked-Send,code snippet injection
99,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
93,2,Unchecked-Send,code snippet injection
90,2,Unchecked-Send,code snippet injection
87,2,Unchecked-Send,code snippet injection
84,2,Unchecked-Send,code snippet injection
81,2,Unchecked-Send,code snippet injection
78,2,Unchecked-Send,code snippet injection
51,2,Unchecked-Send,code snippet injection
48,2,Unchecked-Send,code snippet injection
45,2,Unchecked-Send,code snippet injection
42,2,Unchecked-Send,code snippet injection
