loc,length,bug type,approach
309,2,Unchecked-Send,code snippet injection
559,2,Unchecked-Send,code snippet injection
541,2,Unchecked-Send,code snippet injection
534,2,Unchecked-Send,code snippet injection
527,2,Unchecked-Send,code snippet injection
520,2,Unchecked-Send,code snippet injection
510,2,Unchecked-Send,code snippet injection
498,2,Unchecked-Send,code snippet injection
481,2,Unchecked-Send,code snippet injection
474,2,Unchecked-Send,code snippet injection
466,2,Unchecked-Send,code snippet injection
458,2,Unchecked-Send,code snippet injection
433,2,Unchecked-Send,code snippet injection
424,2,Unchecked-Send,code snippet injection
415,2,Unchecked-Send,code snippet injection
406,2,Unchecked-Send,code snippet injection
383,2,Unchecked-Send,code snippet injection
371,2,Unchecked-Send,code snippet injection
361,2,Unchecked-Send,code snippet injection
347,2,Unchecked-Send,code snippet injection
330,2,Unchecked-Send,code snippet injection
321,2,Unchecked-Send,code snippet injection
296,2,Unchecked-Send,code snippet injection
281,2,Unchecked-Send,code snippet injection
265,2,Unchecked-Send,code snippet injection
249,2,Unchecked-Send,code snippet injection
232,2,Unchecked-Send,code snippet injection
216,2,Unchecked-Send,code snippet injection
199,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
166,2,Unchecked-Send,code snippet injection
150,2,Unchecked-Send,code snippet injection
