loc,length,bug type,approach
321,2,Unchecked-Send,code snippet injection
315,2,Unchecked-Send,code snippet injection
309,2,Unchecked-Send,code snippet injection
303,2,Unchecked-Send,code snippet injection
296,2,Unchecked-Send,code snippet injection
287,2,Unchecked-Send,code snippet injection
279,2,Unchecked-Send,code snippet injection
272,2,Unchecked-Send,code snippet injection
265,2,Unchecked-Send,code snippet injection
259,2,Unchecked-Send,code snippet injection
253,2,Unchecked-Send,code snippet injection
241,2,Unchecked-Send,code snippet injection
227,2,Unchecked-Send,code snippet injection
211,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
141,2,Unchecked-Send,code snippet injection
108,2,Unchecked-Send,code snippet injection
95,2,Unchecked-Send,code snippet injection
84,2,Unchecked-Send,code snippet injection
67,2,Unchecked-Send,code snippet injection
63,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
57,2,Unchecked-Send,code snippet injection
54,2,Unchecked-Send,code snippet injection
51,2,Unchecked-Send,code snippet injection
48,2,Unchecked-Send,code snippet injection
45,2,Unchecked-Send,code snippet injection
41,2,Unchecked-Send,code snippet injection
38,2,Unchecked-Send,code snippet injection
35,2,Unchecked-Send,code snippet injection
31,2,Unchecked-Send,code snippet injection
