loc,length,bug type,approach
731,2,Unchecked-Send,code snippet injection
728,2,Unchecked-Send,code snippet injection
255,2,Unchecked-Send,code snippet injection
1039,2,Unchecked-Send,code snippet injection
1016,2,Unchecked-Send,code snippet injection
1005,2,Unchecked-Send,code snippet injection
988,2,Unchecked-Send,code snippet injection
968,2,Unchecked-Send,code snippet injection
955,2,Unchecked-Send,code snippet injection
912,2,Unchecked-Send,code snippet injection
899,2,Unchecked-Send,code snippet injection
893,2,Unchecked-Send,code snippet injection
887,2,Unchecked-Send,code snippet injection
861,2,Unchecked-Send,code snippet injection
838,2,Unchecked-Send,code snippet injection
802,2,Unchecked-Send,code snippet injection
792,2,Unchecked-Send,code snippet injection
776,2,Unchecked-Send,code snippet injection
770,2,Unchecked-Send,code snippet injection
661,2,Unchecked-Send,code snippet injection
653,2,Unchecked-Send,code snippet injection
645,2,Unchecked-Send,code snippet injection
639,2,Unchecked-Send,code snippet injection
633,2,Unchecked-Send,code snippet injection
327,2,Unchecked-Send,code snippet injection
316,2,Unchecked-Send,code snippet injection
306,2,Unchecked-Send,code snippet injection
292,2,Unchecked-Send,code snippet injection
275,2,Unchecked-Send,code snippet injection
266,2,Unchecked-Send,code snippet injection
239,2,Unchecked-Send,code snippet injection
232,2,Unchecked-Send,code snippet injection
