loc,length,bug type,approach
468,2,Unchecked-Send,code snippet injection
368,2,Unchecked-Send,code snippet injection
364,2,Unchecked-Send,code snippet injection
360,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
258,2,Unchecked-Send,code snippet injection
119,2,Unchecked-Send,code snippet injection
52,2,Unchecked-Send,code snippet injection
464,2,Unchecked-Send,code snippet injection
455,2,Unchecked-Send,code snippet injection
444,2,Unchecked-Send,code snippet injection
433,2,Unchecked-Send,code snippet injection
422,2,Unchecked-Send,code snippet injection
411,2,Unchecked-Send,code snippet injection
399,2,Unchecked-Send,code snippet injection
387,2,Unchecked-Send,code snippet injection
357,2,Unchecked-Send,code snippet injection
347,2,Unchecked-Send,code snippet injection
340,2,Unchecked-Send,code snippet injection
331,2,Unchecked-Send,code snippet injection
325,2,Unchecked-Send,code snippet injection
315,2,Unchecked-Send,code snippet injection
312,2,Unchecked-Send,code snippet injection
309,2,Unchecked-Send,code snippet injection
301,2,Unchecked-Send,code snippet injection
291,2,Unchecked-Send,code snippet injection
248,2,Unchecked-Send,code snippet injection
220,2,Unchecked-Send,code snippet injection
196,2,Unchecked-Send,code snippet injection
177,2,Unchecked-Send,code snippet injection
160,2,Unchecked-Send,code snippet injection
113,2,Unchecked-Send,code snippet injection
