loc,length,bug type,approach
1059,2,Unchecked-Send,code snippet injection
1056,2,Unchecked-Send,code snippet injection
1053,2,Unchecked-Send,code snippet injection
481,2,Unchecked-Send,code snippet injection
1508,2,Unchecked-Send,code snippet injection
1471,2,Unchecked-Send,code snippet injection
1454,2,Unchecked-Send,code snippet injection
1410,2,Unchecked-Send,code snippet injection
1367,2,Unchecked-Send,code snippet injection
1322,2,Unchecked-Send,code snippet injection
1287,2,Unchecked-Send,code snippet injection
1260,2,Unchecked-Send,code snippet injection
1250,2,Unchecked-Send,code snippet injection
1224,2,Unchecked-Send,code snippet injection
1202,2,Unchecked-Send,code snippet injection
1180,2,Unchecked-Send,code snippet injection
1164,2,Unchecked-Send,code snippet injection
1151,2,Unchecked-Send,code snippet injection
1134,2,Unchecked-Send,code snippet injection
1117,2,Unchecked-Send,code snippet injection
1083,2,Unchecked-Send,code snippet injection
554,2,Unchecked-Send,code snippet injection
543,2,Unchecked-Send,code snippet injection
533,2,Unchecked-Send,code snippet injection
519,2,Unchecked-Send,code snippet injection
502,2,Unchecked-Send,code snippet injection
493,2,Unchecked-Send,code snippet injection
464,2,Unchecked-Send,code snippet injection
457,2,Unchecked-Send,code snippet injection
450,2,Unchecked-Send,code snippet injection
1047,2,Unchecked-Send,code snippet injection
1043,2,Unchecked-Send,code snippet injection
