loc,length,bug type,approach
67,2,Unchecked-Send,code snippet injection
64,2,Unchecked-Send,code snippet injection
213,2,Unchecked-Send,code snippet injection
189,2,Unchecked-Send,code snippet injection
174,2,Unchecked-Send,code snippet injection
159,2,Unchecked-Send,code snippet injection
147,2,Unchecked-Send,code snippet injection
128,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
61,2,Unchecked-Send,code snippet injection
58,2,Unchecked-Send,code snippet injection
55,2,Unchecked-Send,code snippet injection
52,2,Unchecked-Send,code snippet injection
49,2,Unchecked-Send,code snippet injection
204,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
197,2,Unchecked-Send,code snippet injection
194,2,Unchecked-Send,code snippet injection
77,2,Unchecked-Send,code snippet injection
74,2,Unchecked-Send,code snippet injection
44,2,Unchecked-Send,code snippet injection
