loc,length,bug type,approach
166,2,Unchecked-Send,code snippet injection
69,2,Unchecked-Send,code snippet injection
16,2,Unchecked-Send,code snippet injection
276,2,Unchecked-Send,code snippet injection
270,2,Unchecked-Send,code snippet injection
245,2,Unchecked-Send,code snippet injection
230,2,Unchecked-Send,code snippet injection
220,2,Unchecked-Send,code snippet injection
213,2,Unchecked-Send,code snippet injection
203,2,Unchecked-Send,code snippet injection
166,2,Unchecked-Send,code snippet injection
163,2,Unchecked-Send,code snippet injection
160,2,Unchecked-Send,code snippet injection
152,2,Unchecked-Send,code snippet injection
145,2,Unchecked-Send,code snippet injection
128,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
79,2,Unchecked-Send,code snippet injection
16,2,Unchecked-Send,code snippet injection
13,2,Unchecked-Send,code snippet injection
10,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
258,2,Unchecked-Send,code snippet injection
255,2,Unchecked-Send,code snippet injection
252,2,Unchecked-Send,code snippet injection
179,2,Unchecked-Send,code snippet injection
118,2,Unchecked-Send,code snippet injection
115,2,Unchecked-Send,code snippet injection
65,2,Unchecked-Send,code snippet injection
