loc,length,bug type,approach
318,2,Unchecked-Send,code snippet injection
751,2,Unchecked-Send,code snippet injection
733,2,Unchecked-Send,code snippet injection
724,2,Unchecked-Send,code snippet injection
713,2,Unchecked-Send,code snippet injection
693,2,Unchecked-Send,code snippet injection
669,2,Unchecked-Send,code snippet injection
642,2,Unchecked-Send,code snippet injection
610,2,Unchecked-Send,code snippet injection
579,2,Unchecked-Send,code snippet injection
553,2,Unchecked-Send,code snippet injection
522,2,Unchecked-Send,code snippet injection
508,2,Unchecked-Send,code snippet injection
495,2,Unchecked-Send,code snippet injection
480,2,Unchecked-Send,code snippet injection
471,2,Unchecked-Send,code snippet injection
462,2,Unchecked-Send,code snippet injection
444,2,Unchecked-Send,code snippet injection
434,2,Unchecked-Send,code snippet injection
425,2,Unchecked-Send,code snippet injection
394,2,Unchecked-Send,code snippet injection
380,2,Unchecked-Send,code snippet injection
370,2,Unchecked-Send,code snippet injection
356,2,Unchecked-Send,code snippet injection
339,2,Unchecked-Send,code snippet injection
330,2,Unchecked-Send,code snippet injection
36,2,Unchecked-Send,code snippet injection
29,2,Unchecked-Send,code snippet injection
21,2,Unchecked-Send,code snippet injection
414,2,Unchecked-Send,code snippet injection
411,2,Unchecked-Send,code snippet injection
408,2,Unchecked-Send,code snippet injection
