loc,length,bug type,approach
1938,2,Unchecked-Send,code snippet injection
745,2,Unchecked-Send,code snippet injection
211,2,Unchecked-Send,code snippet injection
208,2,Unchecked-Send,code snippet injection
79,2,Unchecked-Send,code snippet injection
2357,2,Unchecked-Send,code snippet injection
2329,2,Unchecked-Send,code snippet injection
2299,2,Unchecked-Send,code snippet injection
2288,2,Unchecked-Send,code snippet injection
2279,2,Unchecked-Send,code snippet injection
2268,2,Unchecked-Send,code snippet injection
2259,2,Unchecked-Send,code snippet injection
2248,2,Unchecked-Send,code snippet injection
2235,2,Unchecked-Send,code snippet injection
2216,2,Unchecked-Send,code snippet injection
2206,2,Unchecked-Send,code snippet injection
2195,2,Unchecked-Send,code snippet injection
2183,2,Unchecked-Send,code snippet injection
2174,2,Unchecked-Send,code snippet injection
2161,2,Unchecked-Send,code snippet injection
2115,2,Unchecked-Send,code snippet injection
2027,2,Unchecked-Send,code snippet injection
2017,2,Unchecked-Send,code snippet injection
2008,2,Unchecked-Send,code snippet injection
1996,2,Unchecked-Send,code snippet injection
1946,2,Unchecked-Send,code snippet injection
1910,2,Unchecked-Send,code snippet injection
1884,2,Unchecked-Send,code snippet injection
1868,2,Unchecked-Send,code snippet injection
1852,2,Unchecked-Send,code snippet injection
1828,2,Unchecked-Send,code snippet injection
1792,2,Unchecked-Send,code snippet injection
