loc,length,bug type,approach
35,2,Unchecked-Send,code snippet injection
449,2,Unchecked-Send,code snippet injection
443,2,Unchecked-Send,code snippet injection
421,2,Unchecked-Send,code snippet injection
415,2,Unchecked-Send,code snippet injection
393,2,Unchecked-Send,code snippet injection
387,2,Unchecked-Send,code snippet injection
379,2,Unchecked-Send,code snippet injection
372,2,Unchecked-Send,code snippet injection
365,2,Unchecked-Send,code snippet injection
359,2,Unchecked-Send,code snippet injection
347,2,Unchecked-Send,code snippet injection
340,2,Unchecked-Send,code snippet injection
333,2,Unchecked-Send,code snippet injection
192,2,Unchecked-Send,code snippet injection
187,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
177,2,Unchecked-Send,code snippet injection
163,2,Unchecked-Send,code snippet injection
157,2,Unchecked-Send,code snippet injection
148,2,Unchecked-Send,code snippet injection
139,2,Unchecked-Send,code snippet injection
130,2,Unchecked-Send,code snippet injection
120,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
108,2,Unchecked-Send,code snippet injection
101,2,Unchecked-Send,code snippet injection
95,2,Unchecked-Send,code snippet injection
90,2,Unchecked-Send,code snippet injection
84,2,Unchecked-Send,code snippet injection
79,2,Unchecked-Send,code snippet injection
64,2,Unchecked-Send,code snippet injection
