loc,length,bug type,approach
401,2,Unchecked-Send,code snippet injection
354,2,Unchecked-Send,code snippet injection
351,2,Unchecked-Send,code snippet injection
201,2,Unchecked-Send,code snippet injection
198,2,Unchecked-Send,code snippet injection
195,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
139,2,Unchecked-Send,code snippet injection
95,2,Unchecked-Send,code snippet injection
443,2,Unchecked-Send,code snippet injection
425,2,Unchecked-Send,code snippet injection
412,2,Unchecked-Send,code snippet injection
391,2,Unchecked-Send,code snippet injection
379,2,Unchecked-Send,code snippet injection
340,2,Unchecked-Send,code snippet injection
329,2,Unchecked-Send,code snippet injection
316,2,Unchecked-Send,code snippet injection
308,2,Unchecked-Send,code snippet injection
302,2,Unchecked-Send,code snippet injection
294,2,Unchecked-Send,code snippet injection
281,2,Unchecked-Send,code snippet injection
265,2,Unchecked-Send,code snippet injection
257,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
235,2,Unchecked-Send,code snippet injection
208,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
172,2,Unchecked-Send,code snippet injection
129,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
434,2,Unchecked-Send,code snippet injection
431,2,Unchecked-Send,code snippet injection
