loc,length,bug type,approach
993,2,Unchecked-Send,code snippet injection
990,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
165,2,Unchecked-Send,code snippet injection
162,2,Unchecked-Send,code snippet injection
28,2,Unchecked-Send,code snippet injection
1104,2,Unchecked-Send,code snippet injection
1101,2,Unchecked-Send,code snippet injection
1098,2,Unchecked-Send,code snippet injection
1095,2,Unchecked-Send,code snippet injection
1092,2,Unchecked-Send,code snippet injection
1089,2,Unchecked-Send,code snippet injection
1086,2,Unchecked-Send,code snippet injection
1083,2,Unchecked-Send,code snippet injection
1080,2,Unchecked-Send,code snippet injection
1074,2,Unchecked-Send,code snippet injection
1071,2,Unchecked-Send,code snippet injection
1064,2,Unchecked-Send,code snippet injection
1039,2,Unchecked-Send,code snippet injection
1031,2,Unchecked-Send,code snippet injection
1018,2,Unchecked-Send,code snippet injection
935,2,Unchecked-Send,code snippet injection
919,2,Unchecked-Send,code snippet injection
899,2,Unchecked-Send,code snippet injection
886,2,Unchecked-Send,code snippet injection
873,2,Unchecked-Send,code snippet injection
860,2,Unchecked-Send,code snippet injection
848,2,Unchecked-Send,code snippet injection
838,2,Unchecked-Send,code snippet injection
828,2,Unchecked-Send,code snippet injection
791,2,Unchecked-Send,code snippet injection
788,2,Unchecked-Send,code snippet injection
