loc,length,bug type,approach
228,2,Unchecked-Send,code snippet injection
225,2,Unchecked-Send,code snippet injection
194,2,Unchecked-Send,code snippet injection
141,2,Unchecked-Send,code snippet injection
16,2,Unchecked-Send,code snippet injection
13,2,Unchecked-Send,code snippet injection
308,2,Unchecked-Send,code snippet injection
302,2,Unchecked-Send,code snippet injection
293,2,Unchecked-Send,code snippet injection
286,2,Unchecked-Send,code snippet injection
280,2,Unchecked-Send,code snippet injection
272,2,Unchecked-Send,code snippet injection
251,2,Unchecked-Send,code snippet injection
222,2,Unchecked-Send,code snippet injection
217,2,Unchecked-Send,code snippet injection
209,2,Unchecked-Send,code snippet injection
201,2,Unchecked-Send,code snippet injection
191,2,Unchecked-Send,code snippet injection
178,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
138,2,Unchecked-Send,code snippet injection
131,2,Unchecked-Send,code snippet injection
123,2,Unchecked-Send,code snippet injection
115,2,Unchecked-Send,code snippet injection
109,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
77,2,Unchecked-Send,code snippet injection
69,2,Unchecked-Send,code snippet injection
63,2,Unchecked-Send,code snippet injection
57,2,Unchecked-Send,code snippet injection
10,2,Unchecked-Send,code snippet injection
