loc,length,bug type,approach
1944,2,Unchecked-Send,code snippet injection
1941,2,Unchecked-Send,code snippet injection
1938,2,Unchecked-Send,code snippet injection
1799,2,Unchecked-Send,code snippet injection
122,2,Unchecked-Send,code snippet injection
2125,2,Unchecked-Send,code snippet injection
2113,2,Unchecked-Send,code snippet injection
2078,2,Unchecked-Send,code snippet injection
2072,2,Unchecked-Send,code snippet injection
2062,2,Unchecked-Send,code snippet injection
2052,2,Unchecked-Send,code snippet injection
2042,2,Unchecked-Send,code snippet injection
2036,2,Unchecked-Send,code snippet injection
2019,2,Unchecked-Send,code snippet injection
2008,2,Unchecked-Send,code snippet injection
1991,2,Unchecked-Send,code snippet injection
1975,2,Unchecked-Send,code snippet injection
1954,2,Unchecked-Send,code snippet injection
1911,2,Unchecked-Send,code snippet injection
1895,2,Unchecked-Send,code snippet injection
1876,2,Unchecked-Send,code snippet injection
1849,2,Unchecked-Send,code snippet injection
1837,2,Unchecked-Send,code snippet injection
1783,2,Unchecked-Send,code snippet injection
1765,2,Unchecked-Send,code snippet injection
1756,2,Unchecked-Send,code snippet injection
1709,2,Unchecked-Send,code snippet injection
1663,2,Unchecked-Send,code snippet injection
1623,2,Unchecked-Send,code snippet injection
1598,2,Unchecked-Send,code snippet injection
1569,2,Unchecked-Send,code snippet injection
1543,2,Unchecked-Send,code snippet injection
