loc,length,bug type,approach
791,2,Unchecked-Send,code snippet injection
786,2,Unchecked-Send,code snippet injection
781,2,Unchecked-Send,code snippet injection
119,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
109,2,Unchecked-Send,code snippet injection
1109,2,Unchecked-Send,code snippet injection
1078,2,Unchecked-Send,code snippet injection
1064,2,Unchecked-Send,code snippet injection
1053,2,Unchecked-Send,code snippet injection
1042,2,Unchecked-Send,code snippet injection
1014,2,Unchecked-Send,code snippet injection
1000,2,Unchecked-Send,code snippet injection
989,2,Unchecked-Send,code snippet injection
978,2,Unchecked-Send,code snippet injection
951,2,Unchecked-Send,code snippet injection
934,2,Unchecked-Send,code snippet injection
923,2,Unchecked-Send,code snippet injection
912,2,Unchecked-Send,code snippet injection
897,2,Unchecked-Send,code snippet injection
882,2,Unchecked-Send,code snippet injection
866,2,Unchecked-Send,code snippet injection
855,2,Unchecked-Send,code snippet injection
844,2,Unchecked-Send,code snippet injection
832,2,Unchecked-Send,code snippet injection
802,2,Unchecked-Send,code snippet injection
715,2,Unchecked-Send,code snippet injection
702,2,Unchecked-Send,code snippet injection
682,2,Unchecked-Send,code snippet injection
355,2,Unchecked-Send,code snippet injection
336,2,Unchecked-Send,code snippet injection
321,2,Unchecked-Send,code snippet injection
