loc,length,bug type,approach
26,2,Unchecked-Send,code snippet injection
11,2,Unchecked-Send,code snippet injection
225,2,Unchecked-Send,code snippet injection
219,2,Unchecked-Send,code snippet injection
206,2,Unchecked-Send,code snippet injection
195,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
170,2,Unchecked-Send,code snippet injection
155,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
106,2,Unchecked-Send,code snippet injection
97,2,Unchecked-Send,code snippet injection
85,2,Unchecked-Send,code snippet injection
53,2,Unchecked-Send,code snippet injection
41,2,Unchecked-Send,code snippet injection
26,2,Unchecked-Send,code snippet injection
23,2,Unchecked-Send,code snippet injection
20,2,Unchecked-Send,code snippet injection
11,2,Unchecked-Send,code snippet injection
8,2,Unchecked-Send,code snippet injection
5,2,Unchecked-Send,code snippet injection
127,2,Unchecked-Send,code snippet injection
124,2,Unchecked-Send,code snippet injection
121,2,Unchecked-Send,code snippet injection
71,2,Unchecked-Send,code snippet injection
68,2,Unchecked-Send,code snippet injection
65,2,Unchecked-Send,code snippet injection
62,2,Unchecked-Send,code snippet injection
59,2,Unchecked-Send,code snippet injection
34,2,Unchecked-Send,code snippet injection
