loc,length,bug type,approach
91,2,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
85,2,Unchecked-Send,code snippet injection
82,2,Unchecked-Send,code snippet injection
79,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
73,2,Unchecked-Send,code snippet injection
70,2,Unchecked-Send,code snippet injection
67,2,Unchecked-Send,code snippet injection
64,2,Unchecked-Send,code snippet injection
511,2,Unchecked-Send,code snippet injection
505,2,Unchecked-Send,code snippet injection
499,2,Unchecked-Send,code snippet injection
493,2,Unchecked-Send,code snippet injection
487,2,Unchecked-Send,code snippet injection
481,2,Unchecked-Send,code snippet injection
475,2,Unchecked-Send,code snippet injection
467,2,Unchecked-Send,code snippet injection
454,2,Unchecked-Send,code snippet injection
429,2,Unchecked-Send,code snippet injection
418,2,Unchecked-Send,code snippet injection
401,2,Unchecked-Send,code snippet injection
374,2,Unchecked-Send,code snippet injection
331,2,Unchecked-Send,code snippet injection
267,2,Unchecked-Send,code snippet injection
234,2,Unchecked-Send,code snippet injection
205,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
157,2,Unchecked-Send,code snippet injection
154,2,Unchecked-Send,code snippet injection
151,2,Unchecked-Send,code snippet injection
148,2,Unchecked-Send,code snippet injection
