loc,length,bug type,approach
300,2,Unchecked-Send,code snippet injection
297,2,Unchecked-Send,code snippet injection
294,2,Unchecked-Send,code snippet injection
291,2,Unchecked-Send,code snippet injection
288,2,Unchecked-Send,code snippet injection
285,2,Unchecked-Send,code snippet injection
282,2,Unchecked-Send,code snippet injection
279,2,Unchecked-Send,code snippet injection
276,2,Unchecked-Send,code snippet injection
273,2,Unchecked-Send,code snippet injection
270,2,Unchecked-Send,code snippet injection
267,2,Unchecked-Send,code snippet injection
264,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
258,2,Unchecked-Send,code snippet injection
255,2,Unchecked-Send,code snippet injection
252,2,Unchecked-Send,code snippet injection
249,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
243,2,Unchecked-Send,code snippet injection
38,2,Unchecked-Send,code snippet injection
28,2,Unchecked-Send,code snippet injection
931,2,Unchecked-Send,code snippet injection
911,2,Unchecked-Send,code snippet injection
889,2,Unchecked-Send,code snippet injection
875,2,Unchecked-Send,code snippet injection
861,2,Unchecked-Send,code snippet injection
847,2,Unchecked-Send,code snippet injection
833,2,Unchecked-Send,code snippet injection
819,2,Unchecked-Send,code snippet injection
805,2,Unchecked-Send,code snippet injection
785,2,Unchecked-Send,code snippet injection
