loc,length,bug type,approach
919,2,Unchecked-Send,code snippet injection
912,2,Unchecked-Send,code snippet injection
904,2,Unchecked-Send,code snippet injection
897,2,Unchecked-Send,code snippet injection
892,2,Unchecked-Send,code snippet injection
887,2,Unchecked-Send,code snippet injection
882,2,Unchecked-Send,code snippet injection
824,2,Unchecked-Send,code snippet injection
816,2,Unchecked-Send,code snippet injection
809,2,Unchecked-Send,code snippet injection
800,2,Unchecked-Send,code snippet injection
793,2,Unchecked-Send,code snippet injection
786,2,Unchecked-Send,code snippet injection
767,2,Unchecked-Send,code snippet injection
760,2,Unchecked-Send,code snippet injection
755,2,Unchecked-Send,code snippet injection
2008,2,Unchecked-Send,code snippet injection
1991,2,Unchecked-Send,code snippet injection
1951,2,Unchecked-Send,code snippet injection
1937,2,Unchecked-Send,code snippet injection
1917,2,Unchecked-Send,code snippet injection
1883,2,Unchecked-Send,code snippet injection
1863,2,Unchecked-Send,code snippet injection
1841,2,Unchecked-Send,code snippet injection
1822,2,Unchecked-Send,code snippet injection
1800,2,Unchecked-Send,code snippet injection
1789,2,Unchecked-Send,code snippet injection
1776,2,Unchecked-Send,code snippet injection
1747,2,Unchecked-Send,code snippet injection
1733,2,Unchecked-Send,code snippet injection
1715,2,Unchecked-Send,code snippet injection
1594,2,Unchecked-Send,code snippet injection
