loc,length,bug type,approach
333,2,Unchecked-Send,code snippet injection
326,2,Unchecked-Send,code snippet injection
319,2,Unchecked-Send,code snippet injection
312,2,Unchecked-Send,code snippet injection
305,2,Unchecked-Send,code snippet injection
205,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
195,2,Unchecked-Send,code snippet injection
190,2,Unchecked-Send,code snippet injection
170,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
152,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
122,2,Unchecked-Send,code snippet injection
116,2,Unchecked-Send,code snippet injection
110,2,Unchecked-Send,code snippet injection
103,2,Unchecked-Send,code snippet injection
97,2,Unchecked-Send,code snippet injection
92,2,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
81,2,Unchecked-Send,code snippet injection
75,2,Unchecked-Send,code snippet injection
68,2,Unchecked-Send,code snippet injection
62,2,Unchecked-Send,code snippet injection
55,2,Unchecked-Send,code snippet injection
35,2,Unchecked-Send,code snippet injection
28,2,Unchecked-Send,code snippet injection
298,2,Unchecked-Send,code snippet injection
295,2,Unchecked-Send,code snippet injection
181,2,Unchecked-Send,code snippet injection
178,2,Unchecked-Send,code snippet injection
175,2,Unchecked-Send,code snippet injection
