loc,length,bug type,approach
129,2,Unchecked-Send,code snippet injection
126,2,Unchecked-Send,code snippet injection
123,2,Unchecked-Send,code snippet injection
120,2,Unchecked-Send,code snippet injection
117,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
89,2,Unchecked-Send,code snippet injection
35,2,Unchecked-Send,code snippet injection
449,2,Unchecked-Send,code snippet injection
437,2,Unchecked-Send,code snippet injection
429,2,Unchecked-Send,code snippet injection
418,2,Unchecked-Send,code snippet injection
406,2,Unchecked-Send,code snippet injection
399,2,Unchecked-Send,code snippet injection
377,2,Unchecked-Send,code snippet injection
367,2,Unchecked-Send,code snippet injection
359,2,Unchecked-Send,code snippet injection
349,2,Unchecked-Send,code snippet injection
330,2,Unchecked-Send,code snippet injection
323,2,Unchecked-Send,code snippet injection
309,2,Unchecked-Send,code snippet injection
295,2,Unchecked-Send,code snippet injection
265,2,Unchecked-Send,code snippet injection
240,2,Unchecked-Send,code snippet injection
224,2,Unchecked-Send,code snippet injection
193,2,Unchecked-Send,code snippet injection
186,2,Unchecked-Send,code snippet injection
106,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
89,2,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
