loc,length,bug type,approach
630,2,Unchecked-Send,code snippet injection
627,2,Unchecked-Send,code snippet injection
572,2,Unchecked-Send,code snippet injection
569,2,Unchecked-Send,code snippet injection
506,2,Unchecked-Send,code snippet injection
503,2,Unchecked-Send,code snippet injection
458,2,Unchecked-Send,code snippet injection
455,2,Unchecked-Send,code snippet injection
327,2,Unchecked-Send,code snippet injection
324,2,Unchecked-Send,code snippet injection
732,2,Unchecked-Send,code snippet injection
719,2,Unchecked-Send,code snippet injection
713,2,Unchecked-Send,code snippet injection
707,2,Unchecked-Send,code snippet injection
701,2,Unchecked-Send,code snippet injection
695,2,Unchecked-Send,code snippet injection
681,2,Unchecked-Send,code snippet injection
674,2,Unchecked-Send,code snippet injection
667,2,Unchecked-Send,code snippet injection
661,2,Unchecked-Send,code snippet injection
655,2,Unchecked-Send,code snippet injection
649,2,Unchecked-Send,code snippet injection
618,2,Unchecked-Send,code snippet injection
611,2,Unchecked-Send,code snippet injection
604,2,Unchecked-Send,code snippet injection
598,2,Unchecked-Send,code snippet injection
592,2,Unchecked-Send,code snippet injection
581,2,Unchecked-Send,code snippet injection
560,2,Unchecked-Send,code snippet injection
550,2,Unchecked-Send,code snippet injection
524,2,Unchecked-Send,code snippet injection
515,2,Unchecked-Send,code snippet injection
