loc,length,bug type,approach
991,3,Unhandled-Exceptions,code snippet injection
985,3,Unhandled-Exceptions,code snippet injection
978,6,Unhandled-Exceptions,code snippet injection
974,3,Unhandled-Exceptions,code snippet injection
965,8,Unhandled-Exceptions,code snippet injection
961,3,Unhandled-Exceptions,code snippet injection
955,5,Unhandled-Exceptions,code snippet injection
479,9,Unhandled-Exceptions,code snippet injection
1213,5,Unhandled-Exceptions,code snippet injection
1202,5,Unhandled-Exceptions,code snippet injection
1191,5,Unhandled-Exceptions,code snippet injection
1181,3,Unhandled-Exceptions,code snippet injection
1165,8,Unhandled-Exceptions,code snippet injection
1142,3,Unhandled-Exceptions,code snippet injection
1122,3,Unhandled-Exceptions,code snippet injection
1099,3,Unhandled-Exceptions,code snippet injection
1091,3,Unhandled-Exceptions,code snippet injection
1082,3,Unhandled-Exceptions,code snippet injection
1068,5,Unhandled-Exceptions,code snippet injection
1051,9,Unhandled-Exceptions,code snippet injection
1035,2,Unhandled-Exceptions,code snippet injection
1028,3,Unhandled-Exceptions,code snippet injection
915,9,Unhandled-Exceptions,code snippet injection
899,9,Unhandled-Exceptions,code snippet injection
890,3,Unhandled-Exceptions,code snippet injection
875,9,Unhandled-Exceptions,code snippet injection
869,2,Unhandled-Exceptions,code snippet injection
837,3,Unhandled-Exceptions,code snippet injection
822,3,Unhandled-Exceptions,code snippet injection
814,6,Unhandled-Exceptions,code snippet injection
567,6,Unhandled-Exceptions,code snippet injection
555,3,Unhandled-Exceptions,code snippet injection
544,3,Unhandled-Exceptions,code snippet injection
529,3,Unhandled-Exceptions,code snippet injection
509,5,Unhandled-Exceptions,code snippet injection
497,5,Unhandled-Exceptions,code snippet injection
452,9,Unhandled-Exceptions,code snippet injection
444,3,Unhandled-Exceptions,code snippet injection
437,2,Unhandled-Exceptions,code snippet injection
149,3,Unhandled-Exceptions,code snippet injection
131,3,Unhandled-Exceptions,code snippet injection
112,8,Unhandled-Exceptions,code snippet injection
99,9,Unhandled-Exceptions,code snippet injection
84,5,Unhandled-Exceptions,code snippet injection
60,9,Unhandled-Exceptions,code snippet injection
50,6,Unhandled-Exceptions,code snippet injection
38,8,Unhandled-Exceptions,code snippet injection
31,2,Unhandled-Exceptions,code snippet injection
