loc,length,bug type,approach
271,3,Unhandled-Exceptions,code snippet injection
161,3,Unhandled-Exceptions,code snippet injection
501,6,Unhandled-Exceptions,code snippet injection
490,3,Unhandled-Exceptions,code snippet injection
450,8,Unhandled-Exceptions,code snippet injection
424,3,Unhandled-Exceptions,code snippet injection
411,5,Unhandled-Exceptions,code snippet injection
390,9,Unhandled-Exceptions,code snippet injection
375,5,Unhandled-Exceptions,code snippet injection
355,5,Unhandled-Exceptions,code snippet injection
341,5,Unhandled-Exceptions,code snippet injection
327,3,Unhandled-Exceptions,code snippet injection
312,8,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
221,3,Unhandled-Exceptions,code snippet injection
204,3,Unhandled-Exceptions,code snippet injection
192,3,Unhandled-Exceptions,code snippet injection
111,3,Unhandled-Exceptions,code snippet injection
97,5,Unhandled-Exceptions,code snippet injection
80,9,Unhandled-Exceptions,code snippet injection
51,2,Unhandled-Exceptions,code snippet injection
43,3,Unhandled-Exceptions,code snippet injection
282,9,Unhandled-Exceptions,code snippet injection
171,9,Unhandled-Exceptions,code snippet injection
