loc,length,bug type,approach
768,3,Unhandled-Exceptions,code snippet injection
760,3,Unhandled-Exceptions,code snippet injection
657,6,Unhandled-Exceptions,code snippet injection
653,3,Unhandled-Exceptions,code snippet injection
977,8,Unhandled-Exceptions,code snippet injection
970,3,Unhandled-Exceptions,code snippet injection
961,5,Unhandled-Exceptions,code snippet injection
946,9,Unhandled-Exceptions,code snippet injection
929,5,Unhandled-Exceptions,code snippet injection
893,5,Unhandled-Exceptions,code snippet injection
884,5,Unhandled-Exceptions,code snippet injection
877,3,Unhandled-Exceptions,code snippet injection
865,8,Unhandled-Exceptions,code snippet injection
858,3,Unhandled-Exceptions,code snippet injection
839,3,Unhandled-Exceptions,code snippet injection
828,3,Unhandled-Exceptions,code snippet injection
801,3,Unhandled-Exceptions,code snippet injection
791,3,Unhandled-Exceptions,code snippet injection
735,5,Unhandled-Exceptions,code snippet injection
721,9,Unhandled-Exceptions,code snippet injection
714,2,Unhandled-Exceptions,code snippet injection
707,3,Unhandled-Exceptions,code snippet injection
694,9,Unhandled-Exceptions,code snippet injection
676,9,Unhandled-Exceptions,code snippet injection
601,3,Unhandled-Exceptions,code snippet injection
585,9,Unhandled-Exceptions,code snippet injection
562,2,Unhandled-Exceptions,code snippet injection
543,3,Unhandled-Exceptions,code snippet injection
532,3,Unhandled-Exceptions,code snippet injection
519,6,Unhandled-Exceptions,code snippet injection
478,6,Unhandled-Exceptions,code snippet injection
464,3,Unhandled-Exceptions,code snippet injection
440,3,Unhandled-Exceptions,code snippet injection
418,3,Unhandled-Exceptions,code snippet injection
396,5,Unhandled-Exceptions,code snippet injection
368,5,Unhandled-Exceptions,code snippet injection
340,9,Unhandled-Exceptions,code snippet injection
320,3,Unhandled-Exceptions,code snippet injection
300,2,Unhandled-Exceptions,code snippet injection
285,3,Unhandled-Exceptions,code snippet injection
275,3,Unhandled-Exceptions,code snippet injection
254,8,Unhandled-Exceptions,code snippet injection
238,9,Unhandled-Exceptions,code snippet injection
911,5,Unhandled-Exceptions,code snippet injection
773,9,Unhandled-Exceptions,code snippet injection
665,6,Unhandled-Exceptions,code snippet injection
499,8,Unhandled-Exceptions,code snippet injection
496,2,Unhandled-Exceptions,code snippet injection
