loc,length,bug type,approach
1010,3,Unhandled-Exceptions,code snippet injection
996,3,Unhandled-Exceptions,code snippet injection
984,6,Unhandled-Exceptions,code snippet injection
976,3,Unhandled-Exceptions,code snippet injection
505,8,Unhandled-Exceptions,code snippet injection
129,3,Unhandled-Exceptions,code snippet injection
123,5,Unhandled-Exceptions,code snippet injection
113,9,Unhandled-Exceptions,code snippet injection
1481,5,Unhandled-Exceptions,code snippet injection
1467,5,Unhandled-Exceptions,code snippet injection
1453,5,Unhandled-Exceptions,code snippet injection
1432,3,Unhandled-Exceptions,code snippet injection
1405,8,Unhandled-Exceptions,code snippet injection
1391,3,Unhandled-Exceptions,code snippet injection
1367,3,Unhandled-Exceptions,code snippet injection
1352,3,Unhandled-Exceptions,code snippet injection
1335,3,Unhandled-Exceptions,code snippet injection
1318,3,Unhandled-Exceptions,code snippet injection
1282,5,Unhandled-Exceptions,code snippet injection
1264,9,Unhandled-Exceptions,code snippet injection
1254,2,Unhandled-Exceptions,code snippet injection
1241,3,Unhandled-Exceptions,code snippet injection
1207,9,Unhandled-Exceptions,code snippet injection
1185,9,Unhandled-Exceptions,code snippet injection
1170,3,Unhandled-Exceptions,code snippet injection
1139,9,Unhandled-Exceptions,code snippet injection
1129,2,Unhandled-Exceptions,code snippet injection
1107,3,Unhandled-Exceptions,code snippet injection
1085,3,Unhandled-Exceptions,code snippet injection
1038,6,Unhandled-Exceptions,code snippet injection
1030,6,Unhandled-Exceptions,code snippet injection
577,3,Unhandled-Exceptions,code snippet injection
566,3,Unhandled-Exceptions,code snippet injection
558,3,Unhandled-Exceptions,code snippet injection
550,5,Unhandled-Exceptions,code snippet injection
541,5,Unhandled-Exceptions,code snippet injection
525,9,Unhandled-Exceptions,code snippet injection
519,3,Unhandled-Exceptions,code snippet injection
497,2,Unhandled-Exceptions,code snippet injection
488,3,Unhandled-Exceptions,code snippet injection
477,3,Unhandled-Exceptions,code snippet injection
466,8,Unhandled-Exceptions,code snippet injection
454,9,Unhandled-Exceptions,code snippet injection
445,5,Unhandled-Exceptions,code snippet injection
423,9,Unhandled-Exceptions,code snippet injection
414,6,Unhandled-Exceptions,code snippet injection
403,8,Unhandled-Exceptions,code snippet injection
385,2,Unhandled-Exceptions,code snippet injection
