loc,length,bug type,approach
498,3,Unhandled-Exceptions,code snippet injection
494,3,Unhandled-Exceptions,code snippet injection
405,6,Unhandled-Exceptions,code snippet injection
401,3,Unhandled-Exceptions,code snippet injection
701,8,Unhandled-Exceptions,code snippet injection
688,3,Unhandled-Exceptions,code snippet injection
676,5,Unhandled-Exceptions,code snippet injection
660,9,Unhandled-Exceptions,code snippet injection
648,5,Unhandled-Exceptions,code snippet injection
609,5,Unhandled-Exceptions,code snippet injection
600,5,Unhandled-Exceptions,code snippet injection
593,3,Unhandled-Exceptions,code snippet injection
581,8,Unhandled-Exceptions,code snippet injection
574,3,Unhandled-Exceptions,code snippet injection
559,3,Unhandled-Exceptions,code snippet injection
548,3,Unhandled-Exceptions,code snippet injection
521,3,Unhandled-Exceptions,code snippet injection
511,3,Unhandled-Exceptions,code snippet injection
480,5,Unhandled-Exceptions,code snippet injection
466,9,Unhandled-Exceptions,code snippet injection
459,2,Unhandled-Exceptions,code snippet injection
452,3,Unhandled-Exceptions,code snippet injection
439,9,Unhandled-Exceptions,code snippet injection
421,9,Unhandled-Exceptions,code snippet injection
350,3,Unhandled-Exceptions,code snippet injection
327,9,Unhandled-Exceptions,code snippet injection
311,2,Unhandled-Exceptions,code snippet injection
293,3,Unhandled-Exceptions,code snippet injection
276,3,Unhandled-Exceptions,code snippet injection
252,6,Unhandled-Exceptions,code snippet injection
228,6,Unhandled-Exceptions,code snippet injection
210,3,Unhandled-Exceptions,code snippet injection
190,3,Unhandled-Exceptions,code snippet injection
177,3,Unhandled-Exceptions,code snippet injection
162,5,Unhandled-Exceptions,code snippet injection
148,5,Unhandled-Exceptions,code snippet injection
632,9,Unhandled-Exceptions,code snippet injection
628,3,Unhandled-Exceptions,code snippet injection
625,2,Unhandled-Exceptions,code snippet injection
503,3,Unhandled-Exceptions,code snippet injection
413,3,Unhandled-Exceptions,code snippet injection
132,8,Unhandled-Exceptions,code snippet injection
121,9,Unhandled-Exceptions,code snippet injection
114,5,Unhandled-Exceptions,code snippet injection
