loc,length,bug type,approach
1159,3,Unhandled-Exceptions,code snippet injection
1155,3,Unhandled-Exceptions,code snippet injection
1147,6,Unhandled-Exceptions,code snippet injection
324,3,Unhandled-Exceptions,code snippet injection
1604,8,Unhandled-Exceptions,code snippet injection
1588,3,Unhandled-Exceptions,code snippet injection
1567,5,Unhandled-Exceptions,code snippet injection
1543,9,Unhandled-Exceptions,code snippet injection
1519,5,Unhandled-Exceptions,code snippet injection
1500,5,Unhandled-Exceptions,code snippet injection
1474,5,Unhandled-Exceptions,code snippet injection
1455,3,Unhandled-Exceptions,code snippet injection
1407,8,Unhandled-Exceptions,code snippet injection
1316,3,Unhandled-Exceptions,code snippet injection
1299,3,Unhandled-Exceptions,code snippet injection
1294,3,Unhandled-Exceptions,code snippet injection
1289,3,Unhandled-Exceptions,code snippet injection
1265,3,Unhandled-Exceptions,code snippet injection
1243,5,Unhandled-Exceptions,code snippet injection
1212,9,Unhandled-Exceptions,code snippet injection
1104,2,Unhandled-Exceptions,code snippet injection
455,3,Unhandled-Exceptions,code snippet injection
389,9,Unhandled-Exceptions,code snippet injection
367,9,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
300,9,Unhandled-Exceptions,code snippet injection
290,2,Unhandled-Exceptions,code snippet injection
279,3,Unhandled-Exceptions,code snippet injection
268,3,Unhandled-Exceptions,code snippet injection
254,6,Unhandled-Exceptions,code snippet injection
240,6,Unhandled-Exceptions,code snippet injection
229,3,Unhandled-Exceptions,code snippet injection
218,3,Unhandled-Exceptions,code snippet injection
207,3,Unhandled-Exceptions,code snippet injection
130,5,Unhandled-Exceptions,code snippet injection
1182,5,Unhandled-Exceptions,code snippet injection
1171,9,Unhandled-Exceptions,code snippet injection
1165,3,Unhandled-Exceptions,code snippet injection
1091,2,Unhandled-Exceptions,code snippet injection
460,3,Unhandled-Exceptions,code snippet injection
419,3,Unhandled-Exceptions,code snippet injection
406,8,Unhandled-Exceptions,code snippet injection
329,9,Unhandled-Exceptions,code snippet injection
153,5,Unhandled-Exceptions,code snippet injection
102,9,Unhandled-Exceptions,code snippet injection
95,6,Unhandled-Exceptions,code snippet injection
86,8,Unhandled-Exceptions,code snippet injection
83,2,Unhandled-Exceptions,code snippet injection
