loc,length,bug type,approach
648,3,Unhandled-Exceptions,code snippet injection
644,3,Unhandled-Exceptions,code snippet injection
611,6,Unhandled-Exceptions,code snippet injection
583,3,Unhandled-Exceptions,code snippet injection
496,8,Unhandled-Exceptions,code snippet injection
492,3,Unhandled-Exceptions,code snippet injection
441,5,Unhandled-Exceptions,code snippet injection
431,9,Unhandled-Exceptions,code snippet injection
377,5,Unhandled-Exceptions,code snippet injection
368,5,Unhandled-Exceptions,code snippet injection
793,5,Unhandled-Exceptions,code snippet injection
786,3,Unhandled-Exceptions,code snippet injection
774,8,Unhandled-Exceptions,code snippet injection
757,3,Unhandled-Exceptions,code snippet injection
740,3,Unhandled-Exceptions,code snippet injection
724,3,Unhandled-Exceptions,code snippet injection
712,3,Unhandled-Exceptions,code snippet injection
700,3,Unhandled-Exceptions,code snippet injection
692,5,Unhandled-Exceptions,code snippet injection
680,9,Unhandled-Exceptions,code snippet injection
660,2,Unhandled-Exceptions,code snippet injection
625,3,Unhandled-Exceptions,code snippet injection
600,9,Unhandled-Exceptions,code snippet injection
572,9,Unhandled-Exceptions,code snippet injection
555,3,Unhandled-Exceptions,code snippet injection
533,9,Unhandled-Exceptions,code snippet injection
527,2,Unhandled-Exceptions,code snippet injection
519,3,Unhandled-Exceptions,code snippet injection
487,3,Unhandled-Exceptions,code snippet injection
473,6,Unhandled-Exceptions,code snippet injection
423,6,Unhandled-Exceptions,code snippet injection
410,3,Unhandled-Exceptions,code snippet injection
399,3,Unhandled-Exceptions,code snippet injection
361,3,Unhandled-Exceptions,code snippet injection
342,5,Unhandled-Exceptions,code snippet injection
323,5,Unhandled-Exceptions,code snippet injection
300,9,Unhandled-Exceptions,code snippet injection
282,3,Unhandled-Exceptions,code snippet injection
266,2,Unhandled-Exceptions,code snippet injection
245,3,Unhandled-Exceptions,code snippet injection
224,3,Unhandled-Exceptions,code snippet injection
201,8,Unhandled-Exceptions,code snippet injection
175,9,Unhandled-Exceptions,code snippet injection
160,5,Unhandled-Exceptions,code snippet injection
141,9,Unhandled-Exceptions,code snippet injection
126,6,Unhandled-Exceptions,code snippet injection
634,8,Unhandled-Exceptions,code snippet injection
506,2,Unhandled-Exceptions,code snippet injection
