loc,length,bug type,approach
497,3,Unhandled-Exceptions,code snippet injection
493,3,Unhandled-Exceptions,code snippet injection
273,6,Unhandled-Exceptions,code snippet injection
544,3,Unhandled-Exceptions,code snippet injection
527,8,Unhandled-Exceptions,code snippet injection
516,3,Unhandled-Exceptions,code snippet injection
507,5,Unhandled-Exceptions,code snippet injection
365,9,Unhandled-Exceptions,code snippet injection
351,5,Unhandled-Exceptions,code snippet injection
338,5,Unhandled-Exceptions,code snippet injection
321,5,Unhandled-Exceptions,code snippet injection
303,3,Unhandled-Exceptions,code snippet injection
288,8,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
241,3,Unhandled-Exceptions,code snippet injection
233,3,Unhandled-Exceptions,code snippet injection
487,3,Unhandled-Exceptions,code snippet injection
483,3,Unhandled-Exceptions,code snippet injection
474,5,Unhandled-Exceptions,code snippet injection
464,9,Unhandled-Exceptions,code snippet injection
269,2,Unhandled-Exceptions,code snippet injection
