loc,length,bug type,approach
493,3,Unhandled-Exceptions,code snippet injection
489,3,Unhandled-Exceptions,code snippet injection
136,6,Unhandled-Exceptions,code snippet injection
710,3,Unhandled-Exceptions,code snippet injection
683,8,Unhandled-Exceptions,code snippet injection
676,3,Unhandled-Exceptions,code snippet injection
667,5,Unhandled-Exceptions,code snippet injection
654,9,Unhandled-Exceptions,code snippet injection
645,5,Unhandled-Exceptions,code snippet injection
636,5,Unhandled-Exceptions,code snippet injection
612,5,Unhandled-Exceptions,code snippet injection
604,3,Unhandled-Exceptions,code snippet injection
592,8,Unhandled-Exceptions,code snippet injection
585,3,Unhandled-Exceptions,code snippet injection
571,3,Unhandled-Exceptions,code snippet injection
562,3,Unhandled-Exceptions,code snippet injection
552,3,Unhandled-Exceptions,code snippet injection
544,3,Unhandled-Exceptions,code snippet injection
534,5,Unhandled-Exceptions,code snippet injection
521,9,Unhandled-Exceptions,code snippet injection
515,2,Unhandled-Exceptions,code snippet injection
503,3,Unhandled-Exceptions,code snippet injection
450,9,Unhandled-Exceptions,code snippet injection
435,9,Unhandled-Exceptions,code snippet injection
424,3,Unhandled-Exceptions,code snippet injection
407,9,Unhandled-Exceptions,code snippet injection
397,2,Unhandled-Exceptions,code snippet injection
386,3,Unhandled-Exceptions,code snippet injection
375,3,Unhandled-Exceptions,code snippet injection
361,6,Unhandled-Exceptions,code snippet injection
347,6,Unhandled-Exceptions,code snippet injection
339,3,Unhandled-Exceptions,code snippet injection
332,3,Unhandled-Exceptions,code snippet injection
325,3,Unhandled-Exceptions,code snippet injection
306,5,Unhandled-Exceptions,code snippet injection
297,5,Unhandled-Exceptions,code snippet injection
267,9,Unhandled-Exceptions,code snippet injection
260,3,Unhandled-Exceptions,code snippet injection
254,2,Unhandled-Exceptions,code snippet injection
247,3,Unhandled-Exceptions,code snippet injection
241,3,Unhandled-Exceptions,code snippet injection
228,8,Unhandled-Exceptions,code snippet injection
203,9,Unhandled-Exceptions,code snippet injection
194,5,Unhandled-Exceptions,code snippet injection
181,9,Unhandled-Exceptions,code snippet injection
171,6,Unhandled-Exceptions,code snippet injection
159,8,Unhandled-Exceptions,code snippet injection
153,2,Unhandled-Exceptions,code snippet injection
