loc,length,bug type,approach
379,3,Unhandled-Exceptions,code snippet injection
375,3,Unhandled-Exceptions,code snippet injection
518,6,Unhandled-Exceptions,code snippet injection
450,3,Unhandled-Exceptions,code snippet injection
428,8,Unhandled-Exceptions,code snippet injection
420,3,Unhandled-Exceptions,code snippet injection
409,5,Unhandled-Exceptions,code snippet injection
387,9,Unhandled-Exceptions,code snippet injection
365,5,Unhandled-Exceptions,code snippet injection
356,5,Unhandled-Exceptions,code snippet injection
347,5,Unhandled-Exceptions,code snippet injection
340,3,Unhandled-Exceptions,code snippet injection
301,8,Unhandled-Exceptions,code snippet injection
290,3,Unhandled-Exceptions,code snippet injection
279,3,Unhandled-Exceptions,code snippet injection
268,3,Unhandled-Exceptions,code snippet injection
256,3,Unhandled-Exceptions,code snippet injection
248,3,Unhandled-Exceptions,code snippet injection
238,5,Unhandled-Exceptions,code snippet injection
223,9,Unhandled-Exceptions,code snippet injection
216,2,Unhandled-Exceptions,code snippet injection
209,3,Unhandled-Exceptions,code snippet injection
195,9,Unhandled-Exceptions,code snippet injection
182,9,Unhandled-Exceptions,code snippet injection
80,3,Unhandled-Exceptions,code snippet injection
67,9,Unhandled-Exceptions,code snippet injection
505,2,Unhandled-Exceptions,code snippet injection
501,3,Unhandled-Exceptions,code snippet injection
497,3,Unhandled-Exceptions,code snippet injection
490,6,Unhandled-Exceptions,code snippet injection
483,6,Unhandled-Exceptions,code snippet injection
479,3,Unhandled-Exceptions,code snippet injection
474,3,Unhandled-Exceptions,code snippet injection
470,3,Unhandled-Exceptions,code snippet injection
328,5,Unhandled-Exceptions,code snippet injection
322,5,Unhandled-Exceptions,code snippet injection
312,9,Unhandled-Exceptions,code snippet injection
174,3,Unhandled-Exceptions,code snippet injection
170,2,Unhandled-Exceptions,code snippet injection
165,3,Unhandled-Exceptions,code snippet injection
