loc,length,bug type,approach
373,3,Unhandled-Exceptions,code snippet injection
365,3,Unhandled-Exceptions,code snippet injection
352,6,Unhandled-Exceptions,code snippet injection
343,3,Unhandled-Exceptions,code snippet injection
328,8,Unhandled-Exceptions,code snippet injection
318,3,Unhandled-Exceptions,code snippet injection
306,5,Unhandled-Exceptions,code snippet injection
288,9,Unhandled-Exceptions,code snippet injection
271,5,Unhandled-Exceptions,code snippet injection
258,5,Unhandled-Exceptions,code snippet injection
246,5,Unhandled-Exceptions,code snippet injection
237,3,Unhandled-Exceptions,code snippet injection
224,8,Unhandled-Exceptions,code snippet injection
216,3,Unhandled-Exceptions,code snippet injection
209,3,Unhandled-Exceptions,code snippet injection
202,3,Unhandled-Exceptions,code snippet injection
195,3,Unhandled-Exceptions,code snippet injection
102,3,Unhandled-Exceptions,code snippet injection
93,5,Unhandled-Exceptions,code snippet injection
80,9,Unhandled-Exceptions,code snippet injection
74,2,Unhandled-Exceptions,code snippet injection
184,3,Unhandled-Exceptions,code snippet injection
167,9,Unhandled-Exceptions,code snippet injection
157,9,Unhandled-Exceptions,code snippet injection
149,3,Unhandled-Exceptions,code snippet injection
139,9,Unhandled-Exceptions,code snippet injection
136,2,Unhandled-Exceptions,code snippet injection
132,3,Unhandled-Exceptions,code snippet injection
128,3,Unhandled-Exceptions,code snippet injection
121,6,Unhandled-Exceptions,code snippet injection
113,6,Unhandled-Exceptions,code snippet injection
62,3,Unhandled-Exceptions,code snippet injection
58,3,Unhandled-Exceptions,code snippet injection
54,3,Unhandled-Exceptions,code snippet injection
