loc,length,bug type,approach
961,3,Unhandled-Exceptions,code snippet injection
951,3,Unhandled-Exceptions,code snippet injection
59,6,Unhandled-Exceptions,code snippet injection
55,3,Unhandled-Exceptions,code snippet injection
46,8,Unhandled-Exceptions,code snippet injection
42,3,Unhandled-Exceptions,code snippet injection
36,5,Unhandled-Exceptions,code snippet injection
26,9,Unhandled-Exceptions,code snippet injection
20,5,Unhandled-Exceptions,code snippet injection
14,5,Unhandled-Exceptions,code snippet injection
8,5,Unhandled-Exceptions,code snippet injection
1041,3,Unhandled-Exceptions,code snippet injection
1029,8,Unhandled-Exceptions,code snippet injection
1020,3,Unhandled-Exceptions,code snippet injection
1011,3,Unhandled-Exceptions,code snippet injection
996,3,Unhandled-Exceptions,code snippet injection
988,3,Unhandled-Exceptions,code snippet injection
580,3,Unhandled-Exceptions,code snippet injection
547,5,Unhandled-Exceptions,code snippet injection
518,9,Unhandled-Exceptions,code snippet injection
510,2,Unhandled-Exceptions,code snippet injection
491,3,Unhandled-Exceptions,code snippet injection
464,9,Unhandled-Exceptions,code snippet injection
428,9,Unhandled-Exceptions,code snippet injection
414,3,Unhandled-Exceptions,code snippet injection
378,9,Unhandled-Exceptions,code snippet injection
347,2,Unhandled-Exceptions,code snippet injection
332,3,Unhandled-Exceptions,code snippet injection
314,3,Unhandled-Exceptions,code snippet injection
295,6,Unhandled-Exceptions,code snippet injection
278,6,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
226,3,Unhandled-Exceptions,code snippet injection
207,3,Unhandled-Exceptions,code snippet injection
184,5,Unhandled-Exceptions,code snippet injection
968,5,Unhandled-Exceptions,code snippet injection
108,9,Unhandled-Exceptions,code snippet injection
104,3,Unhandled-Exceptions,code snippet injection
101,2,Unhandled-Exceptions,code snippet injection
97,3,Unhandled-Exceptions,code snippet injection
93,3,Unhandled-Exceptions,code snippet injection
84,8,Unhandled-Exceptions,code snippet injection
70,9,Unhandled-Exceptions,code snippet injection
