loc,length,bug type,approach
350,3,Unhandled-Exceptions,code snippet injection
340,3,Unhandled-Exceptions,code snippet injection
322,6,Unhandled-Exceptions,code snippet injection
283,3,Unhandled-Exceptions,code snippet injection
243,8,Unhandled-Exceptions,code snippet injection
214,3,Unhandled-Exceptions,code snippet injection
188,5,Unhandled-Exceptions,code snippet injection
145,9,Unhandled-Exceptions,code snippet injection
125,5,Unhandled-Exceptions,code snippet injection
92,5,Unhandled-Exceptions,code snippet injection
81,5,Unhandled-Exceptions,code snippet injection
